scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:TRANSPOSE, code_params:[2, 5.590279019989653, 2, 5.731170880363056], meas_params:[-0.31372093918608546, -0.34746430800035655], noise_params:[5e-05, 0.00025118864315095795, 6.84176503298141], init_params:[4, 5, -0.3, -0.3, 15], optimal_params:[5.590279019989653, 5.731170880363056, -0.31372093918608546, -0.34746430800035655, 6.84176503298141], encoded_infidelity:6.24434193072787e-05, benchmark_infidelity:0.0004002717426304647, diff:-0.000337828323323186, ratio:0.15600256689847616
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:TRANSPOSE, code_params:[2, 5.392766772953554, 2, 5.289616217478904], meas_params:[-0.3106645489477705, -0.33092918165320095], noise_params:[0.0001, 0.00039810717055349735, 5.601329197257886], init_params:[5, 5, -0.3, -0.3, 10], optimal_params:[5.392766772953554, 5.289616217478904, -0.3106645489477705, -0.33092918165320095, 5.601329197257886], encoded_infidelity:0.00018452307940142187, benchmark_infidelity:0.000558015517529431, diff:-0.00037349243812800914, ratio:0.3306773263553369
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:TRANSPOSE, code_params:[2, 4.879819479665888, 2, 4.906942971493416], meas_params:[-0.3057897664829637, -0.33188697387932486], noise_params:[0.0002, 0.00039810717055349735, 6.6474663832559315], init_params:[5, 5, -0.3, -0.3, 10], optimal_params:[4.879819479665888, 4.906942971493416, -0.3057897664829637, -0.33188697387932486, 6.6474663832559315], encoded_infidelity:0.0006265755698516839, benchmark_infidelity:0.0008834263132376785, diff:-0.00025685074338599456, ratio:0.7092561772982972
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:TRANSPOSE, code_params:[2, 4.5296693087188284, 2, 4.628897341026677], meas_params:[-0.30008043974218956, -0.336758667429617], noise_params:[0.0003, 0.00039810717055349735, 7.81183259033379], init_params:[5, 5, -0.3, -0.3, 10], optimal_params:[4.5296693087188284, 4.628897341026677, -0.30008043974218956, -0.336758667429617, 7.81183259033379], encoded_infidelity:0.0013363312642753478, benchmark_infidelity:0.0012978122920808133, diff:3.8518972194534484e-05, ratio:1.0296799255405233
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:TRANSPOSE, code_params:[2, 4.2176404057648655, 2, 4.442427202105138], meas_params:[-0.2880140392269248, -0.3347071769852877], noise_params:[0.0004, 0.00039810717055349735, 10.06774781841089], init_params:[4, 5, -0.3, -0.3, 10], optimal_params:[4.2176404057648655, 4.442427202105138, -0.2880140392269248, -0.3347071769852877, 10.06774781841089], encoded_infidelity:0.00260352080402948, benchmark_infidelity:0.0020063372802047175, diff:0.0005971835238247625, ratio:1.297648620556873
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:TRANSPOSE, code_params:[2, 5.8091082386579185, 2, 5.938667899049646], meas_params:[-0.30546882464412783, -0.3406428986749219], noise_params:[5e-05, 0.00039810717055349735, 5.283606362671291], init_params:[4, 5, -0.3, -0.3, 15], optimal_params:[5.8091082386579185, 5.938667899049646, -0.30546882464412783, -0.3406428986749219, 5.283606362671291], encoded_infidelity:6.056756138927977e-05, benchmark_infidelity:0.0004383944112597016, diff:-0.0003778268498704218, ratio:0.13815769506559697
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:TRANSPOSE, code_params:[2, 6.33329419286078, 2, 5.851236108218542], meas_params:[-0.31274226117318854, -0.32915253721618176], noise_params:[5e-05, 0.000630957344480193, 3.9606980650421417], init_params:[6, 6, -0.3, -0.3, 4], optimal_params:[6.33329419286078, 5.851236108218542, -0.31274226117318854, -0.32915253721618176, 3.9606980650421417], encoded_infidelity:6.228255723839116e-05, benchmark_infidelity:0.00048221066793863177, diff:-0.0004199281107002406, ratio:0.12916047151059193
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:TRANSPOSE, code_params:[2, 5.759087971839834, 2, 5.426229609724175], meas_params:[-0.3093981838111739, -0.32953181069092535], noise_params:[0.0001, 0.000630957344480193, 4.584409745914288], init_params:[5, 5, -0.3, -0.3, 6], optimal_params:[5.759087971839834, 5.426229609724175, -0.3093981838111739, -0.32953181069092535, 4.584409745914288], encoded_infidelity:0.00020340400129226222, benchmark_infidelity:0.0006344230223481739, diff:-0.0004310190210559117, ratio:0.32061257887427874
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:TRANSPOSE, code_params:[2, 5.1591369860091465, 2, 4.977239279309769], meas_params:[-0.30300982791493514, -0.3294351242776093], noise_params:[0.0002, 0.000630957344480193, 5.531152424724473], init_params:[5, 5, -0.3, -0.3, 10], optimal_params:[5.1591369860091465, 4.977239279309769, -0.30300982791493514, -0.3294351242776093, 5.531152424724473], encoded_infidelity:0.0006724385445734393, benchmark_infidelity:0.0009494155764698808, diff:-0.0002769770318964415, ratio:0.7082657597357964
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:TRANSPOSE, code_params:[2, 4.786106797990085, 2, 4.725432320120343], meas_params:[-0.2989855385346168, -0.3297054500601609], noise_params:[0.0003, 0.000630957344480193, 6.359940429184669], init_params:[5, 5, -0.3, -0.3, 10], optimal_params:[4.786106797990085, 4.725432320120343, -0.2989855385346168, -0.3297054500601609, 6.359940429184669], encoded_infidelity:0.001368262970718681, benchmark_infidelity:0.0013030401527291957, diff:6.522281798948537e-05, ratio:1.050054342418288
