# # This is combined data for gamma_phi = 10^-3, 10^-4. Diff only, not ratio.
================================ 
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[2, 4.186513553282126, 2, 4.186513553282126], meas_params:[0.2794272320883451, 0.2794272320883451], noise_params:[9e-05, 0.0001, 42.12117740994635], init_params:[7, 0.39269908169872414, 20], optimal_params:[4.186513553282126, 0.2794272320883451, 42.12117740994635], encoded_infidelity:0.002148896000008782, benchmark_infidelity:0.001961793750176466, diff:0.00018710224983231605, leading_ec_infidelity:0.0009611330868194434, diff_leading:-0.0007740308369871274
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[2, 4.378637377393423, 2, 4.378637377393423], meas_params:[0.28623505006729977, 0.28623505006729977], noise_params:[0.0001, 0.0001, 30.323112420515727], init_params:[4, 0.39269908169872414, 5], optimal_params:[4.378637377393423, 0.28623505006729977, 30.323112420515727], encoded_infidelity:0.0018994339601524635, benchmark_infidelity:0.0015138592148838947, diff:0.0003855747452685687, leading_ec_infidelity:0.0010553414922459536, diff_leading:-0.0006697667469773849
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[2, 4.143525013846569, 2, 4.143525013846569], meas_params:[0.2814486493399173, 0.2814486493399173], noise_params:[0.0001, 0.0001, 37.30938094419078], init_params:[5, 0.39269908169872414, 10], optimal_params:[4.143525013846569, 0.2814486493399173, 37.30938094419078], encoded_infidelity:0.0021833644098899763, benchmark_infidelity:0.0018619933962665813, diff:0.00032137101362339493, leading_ec_infidelity:0.0010371573137669676, diff_leading:-0.0007157863001435727
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[2, 4.125655324994474, 2, 4.125655324994474], meas_params:[0.2821900611719793, 0.2821900611719793], noise_params:[0.0001, 0.0001, 37.68019640993391], init_params:[6, 0.39269908169872414, 15], optimal_params:[4.125655324994474, 0.2821900611719793, 37.68019640993391], encoded_infidelity:0.0022016296902922505, benchmark_infidelity:0.001880464781483071, diff:0.00032116490880917947, leading_ec_infidelity:0.0010405773938577667, diff_leading:-0.0007194124850485872
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[2, 4.1333206654439225, 2, 4.1333206654439225], meas_params:[0.28191064511354347, 0.28191064511354347], noise_params:[0.0001, 0.0001, 37.47443435132524], init_params:[7, 0.39269908169872414, 20], optimal_params:[4.1333206654439225, 0.28191064511354347, 37.47443435132524], encoded_infidelity:0.0021912854207247756, benchmark_infidelity:0.0018702152659352267, diff:0.0003210701547895489, leading_ec_infidelity:0.0010389114967951363, diff_leading:-0.0007178413420055874
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[2, 3.9678356271736845, 2, 3.9678356271736845], meas_params:[0.28844359877504133, 0.28844359877504133], noise_params:[0.0002, 0.0001, 18.613739822311004], init_params:[4, 0.39269908169872414, 5], optimal_params:[3.9678356271736845, 0.28844359877504133, 18.613739822311004], encoded_infidelity:0.0029845137510290387, benchmark_infidelity:0.001548693453586214, diff:0.0014358202974428247, leading_ec_infidelity:0.0018155929041029362, diff_leading:-0.0003797726066601115
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[2, 4.8277088157624295, 2, 4.8277088157624295], meas_params:[0.2110617499432198, 0.2110617499432198], noise_params:[8e-05, 0.001, 15.467439180236358], init_params:[4, 0.39269908169872414, 5], optimal_params:[4.8277088157624295, 0.2110617499432198, 15.467439180236358], encoded_infidelity:0.002876936778339334, benchmark_infidelity:0.002978649190610305, diff:-0.00010171241227097116, leading_ec_infidelity:0.0015526037559205896, diff_leading:-0.0016543161681915608
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[2, 4.831220947984177, 2, 4.831220947984177], meas_params:[0.2114044607464669, 0.2114044607464669], noise_params:[8e-05, 0.001, 15.459763646975546], init_params:[4.8277088157624295, 0.2110617499432198, 15.467439180236358], optimal_params:[4.831220947984177, 0.2114044607464669, 15.459763646975546], encoded_infidelity:0.002875454101324504, benchmark_infidelity:0.002977176869474296, diff:-0.00010172276814979231, leading_ec_infidelity:0.0015539821516658003, diff_leading:-0.0016557049198155926
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[2, 4.830893597524284, 2, 4.830893597524284], meas_params:[0.21116080763574696, 0.21116080763574696], noise_params:[8e-05, 0.001, 15.466780669531875], init_params:[5, 0.39269908169872414, 10], optimal_params:[4.830893597524284, 0.21116080763574696, 15.466780669531875], encoded_infidelity:0.0028768085028257895, benchmark_infidelity:0.002978522875282663, diff:-0.00010171437245687365, leading_ec_infidelity:0.0015534405643551352, diff_leading:-0.0016551549368120089
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[2, 4.831240156657287, 2, 4.831240156657287], meas_params:[0.21140381390424723, 0.21140381390424723], noise_params:[8e-05, 0.001, 15.459783582980478], init_params:[4.830893597524284, 0.21116080763574696, 15.466780669531875], optimal_params:[4.831240156657287, 0.21140381390424723, 15.459783582980478], encoded_infidelity:0.0028754579256687895, benchmark_infidelity:0.0029771806936068623, diff:-0.00010172276793807278, leading_ec_infidelity:0.001553983794901348, diff_leading:-0.0016557065628394207
