scheme:HYBRID, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[2, 3.1530816641219377, 1, 9], meas_params:[-0.19906415054969717, 0.0026029250702881254], noise_params:[0.0004, 0, 13.551987846003549], init_params:[8, -0.39269908169872414, 0, 20], optimal_params:[3.1530816641219377,-0.19906415054969717,0.0026029250702881254,13.551987846003549], encoded_infidelity:0.001938116109356347, benchmark_infidelity:0.0018032641094792856, diff:0.00013485199987706142, ratio:1.074782168162822
scheme:HYBRID, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[2, 3.822360011557935, 1, 9], meas_params:[-0.26400011274997814, -0.004660765801147883], noise_params:[0.00030000000000000003, 0, 6.95132360473449], init_params:[2, -0.39269908169872414, 0, 5], optimal_params:[3.822360011557935, -0.26400011274997814, -0.004660765801147883, 6.95132360473449], encoded_infidelity:0.00062649550806404, benchmark_infidelity:0.0006945890651032238, diff:-6.809355703918385e-05, ratio:0.9019656938753212
scheme:HYBRID, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[2, 3.822360011557935, 1, 9], meas_params:[-0.26400011274997814, -0.004660765801147883], noise_params:[0.00030000000000000003, 0, 6.95132360473449], init_params:[2, -0.39269908169872414, 0, 5], optimal_params:[3.822360011557935,-0.26400011274997814,-0.004660765801147883,6.95132360473449], encoded_infidelity:0.00062649550806404, benchmark_infidelity:0.0006945890651032238, diff:-6.809355703918385e-05, ratio:0.9019656938753212
scheme:HYBRID, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[2, 3.4934425754604774, 1, 9], meas_params:[-0.2359097669037204, 0.0014059581797031175], noise_params:[0.00030000000000000003, 0, 11.322248124179126], init_params:[4, -0.39269908169872414, 0, 10], optimal_params:[3.4934425754604774, -0.2359097669037204, 0.0014059581797031175, 11.322248124179126], encoded_infidelity:0.0010738806738377349, benchmark_infidelity:0.0011307839974463718, diff:-5.6903323608636924e-05, ratio:0.9496779900165366
scheme:HYBRID, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[2, 3.4934425754604774, 1, 9], meas_params:[-0.2359097669037204, 0.0014059581797031175], noise_params:[0.00030000000000000003, 0, 11.322248124179126], init_params:[4, -0.39269908169872414, 0, 10], optimal_params:[3.4934425754604774,-0.2359097669037204,0.0014059581797031175,11.322248124179126], encoded_infidelity:0.0010738806738377349, benchmark_infidelity:0.0011307839974463718, diff:-5.6903323608636924e-05, ratio:0.9496779900165366
scheme:HYBRID, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[2, 2.564187117406825, 1, 9], meas_params:[-0.05445309896788428, -0.006143239230240724], noise_params:[0.00030000000000000003, 0, 34.6388461253565], init_params:[6, -0.39269908169872414, 0, 15], optimal_params:[2.564187117406825, -0.05445309896788428, -0.006143239230240724, 34.6388461253565], encoded_infidelity:0.0031712032282297242, benchmark_infidelity:0.003450425176746763, diff:-0.00027922194851703885, ratio:0.9190760749142506
scheme:HYBRID, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[2, 2.564187117406825, 1, 9], meas_params:[-0.05445309896788428, -0.006143239230240724], noise_params:[0.00030000000000000003, 0, 34.6388461253565], init_params:[6, -0.39269908169872414, 0, 15], optimal_params:[2.564187117406825,-0.05445309896788428,-0.006143239230240724,34.6388461253565], encoded_infidelity:0.0031712032282297242, benchmark_infidelity:0.003450425176746763, diff:-0.00027922194851703885, ratio:0.9190760749142506
scheme:HYBRID, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[2, 2.67516114929251, 1, 9], meas_params:[-0.07838915602881491, -0.0008234835432921498], noise_params:[0.00030000000000000003, 0, 27.83046403907806], init_params:[8, -0.39269908169872414, 0, 20], optimal_params:[2.67516114929251, -0.07838915602881491, -0.0008234835432921498, 27.83046403907806], encoded_infidelity:0.002595253754689164, benchmark_infidelity:0.0027743530587397425, diff:-0.0001790993040505784, ratio:0.9354446603375222
scheme:HYBRID, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[2, 2.67516114929251, 1, 9], meas_params:[-0.07838915602881491, -0.0008234835432921498], noise_params:[0.00030000000000000003, 0, 27.83046403907806], init_params:[8, -0.39269908169872414, 0, 20], optimal_params:[2.67516114929251,-0.07838915602881491,-0.0008234835432921498,27.83046403907806], encoded_infidelity:0.002595253754689164, benchmark_infidelity:0.0027743530587397425, diff:-0.0001790993040505784, ratio:0.9354446603375222
scheme:HYBRID, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[3, 6.622518468374004, 1, 9], meas_params:[-0.15566244835400855, 0.0007806987857303465], noise_params:[0.0001, 0, -0.9171588922161185], init_params:[2, -0.34906585039886584, 0, 5], optimal_params:[5.6890576525091205,-0.0941276339101505,0.000865565648629017,0.9906872773994859], encoded_infidelity:1.542884985727966e-05, benchmark_infidelity:3.302168245389314e-05, diff:-1.7592832596613484e-05, ratio:0.46723391150109767
