#This data misses one location of the leading EC. The location at the end of the output mode should be pushed to the trailing EC.
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[3, 6.572887330044111, 3, 6.572887330044111], meas_params:[0.0516269542752438, 0.0516269542752438], noise_params:[9e-05, 0.001, 11.059980302197168], init_params:[6, 0.34906585039886584, 15], optimal_params:[8.17214588, 0.08057855, 3.79925686], encoded_infidelity:0.0004993599253467762, benchmark_infidelity:0.0007464633720214442, diff:-0.000247103446674668, leading_ec_infidelity:Nan, diff_leading:Nan
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[3, 7.144814449635023, 3, 7.144814449635023], meas_params:[0.09259859316308047, 0.09259859316308047], noise_params:[0.0001, 0.001, 5.44839428792832], init_params:[4, 0.34906585039886584, 5], optimal_params:[7.144814449635023, 0.09259859316308047, 5.44839428792832], encoded_infidelity:0.0007323687648913557, benchmark_infidelity:0.0010881589996234453, diff:-0.0003557902347320896, leading_ec_infidelity:0.0002319249315506644, diff_leading:-0.000587715166282754
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[3, 7.180998166102583, 3, 7.180998166102583], meas_params:[0.09096640313059623, 0.09096640313059623], noise_params:[0.0001, 0.001, 5.471616015582008], init_params:[5, 0.34906585039886584, 10], optimal_params:[7.180998166102583, 0.09096640313059623, 5.471616015582008], encoded_infidelity:0.0007363846425182397, benchmark_infidelity:0.0010927903683367601, diff:-0.0003564057258185205, leading_ec_infidelity:0.00022931896001032737, diff_leading:-0.0005857246858288478
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[3, 7.180998166102583, 3, 7.180998166102583], meas_params:[0.09096640313059623, 0.09096640313059623], noise_params:[0.0001, 0.001, 5.471616015582008], init_params:[6, 0.34906585039886584, 15], optimal_params:[7.66407644, 0.08842681, 4.47006459], encoded_infidelity:0.000589439749261067, benchmark_infidelity:0.0008929896940704785, diff:-0.00030354994480941144, leading_ec_infidelity:Nan, diff_leading:Nan
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[3, 6.631677700669059, 3, 6.631677700669059], meas_params:[0.11389654356379525, 0.11389654356379525], noise_params:[0.0002, 0.001, 3.162906675736523], init_params:[4, 0.34906585039886584, 5], optimal_params:[6.631677700669059, 0.11389654356379525, 3.162906675736523], encoded_infidelity:0.0008572783593120414, benchmark_infidelity:0.0007373783589081917, diff:0.00011990000040384974, leading_ec_infidelity:0.00026205117035738024, diff_leading:-0.0001421511699535305
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[3, 6.5440813567469265, 3, 6.5440813567469265], meas_params:[0.11064958782887063, 0.11064958782887063], noise_params:[0.0002, 0.001, 2.9171651588011], init_params:[5, 0.34906585039886584, 10], optimal_params:[6.5440813567469265, 0.11064958782887063, 2.9171651588011], encoded_infidelity:0.000796812674803582, benchmark_infidelity:0.000680133216339307, diff:0.00011667945846427497, leading_ec_infidelity:0.0002468524565554242, diff_leading:-0.00013017299809114924
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[3, 6.5440813567469265, 3, 6.5440813567469265], meas_params:[0.11064958782887063, 0.11064958782887063], noise_params:[0.0004, 0.001, 2.9171651588011], init_params:[4, 0.34906585039886584, 5], optimal_params:[5.33409498, 0.1114667, 0.54883918], encoded_infidelity:0.0011542300407647588, benchmark_infidelity:0.00016462314138931955, diff:0.0009896068993754392, leading_ec_infidelity:Nan, diff_leading:Nan
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[3, 6.5440813567469265, 3, 6.5440813567469265], meas_params:[0.11064958782887063, 0.11064958782887063], noise_params:[0.0004, 0.001, 2.9171651588011], init_params:[5, 0.34906585039886584, 10], optimal_params:[5.6850184, 0.12372811, 2.70785421], encoded_infidelity:0.001876645288309664, benchmark_infidelity:0.0008116600918336436, diff:0.0010649851964760204, leading_ec_infidelity:Nan, diff_leading:Nan
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[3, 6.5440813567469265, 3, 6.5440813567469265], meas_params:[0.11064958782887063, 0.11064958782887063], noise_params:[0.0004, 0.001, 2.9171651588011], init_params:[6, 0.34906585039886584, 15], optimal_params:[5.15619156, 0.10517759, 4.48052533], encoded_infidelity:0.0030553708354430498, benchmark_infidelity:0.0013422523358501692, diff:0.0017131184995928805, leading_ec_infidelity:Nan, diff_leading:Nan
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[3, 6.5440813567469265, 3, 6.5440813567469265], meas_params:[0.11064958782887063, 0.11064958782887063], noise_params:[0.0004, 0.001, 2.9171651588011], init_params:[6, 0.34906585039886584, 15], optimal_params:[6.49578782, 0.11774151, 4.51544771], encoded_infidelity:0.00304483693297819, benchmark_infidelity:0.0013526992484683698, diff:0.0016921376845098202, leading_ec_infidelity:Nan, diff_leading:Nan
