scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:TRANSPOSE, code_params:[3, 4.4510901979348, 3, 6.518135842995491], meas_params:[-0.11451953911305918, -0.28154973318935683], noise_params:[0.0007, 0.00015848931924611142, 23.58081275612274], init_params:[5, 8, -0.1, -0.3, 20], optimal_params:[4.4510901979348, 6.518135842995491, -0.11451953911305918, -0.28154973318935683, 23.58081275612274], encoded_infidelity:0.009119240451301636, benchmark_infidelity:0.006085474847553951, diff:0.0030337656037476846, ratio:1.4985256992668539
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:TRANSPOSE, code_params:[3, 4.215148508953121, 3, 6.138421788132849], meas_params:[-0.10053655699491026, -0.27413836376296985], noise_params:[0.0008, 0.00015848931924611142, 24.409963574627028], init_params:[4, 7, -0.1, -0.3, 20], optimal_params:[4.215148508953121, 6.138421788132849, -0.10053655699491026, -0.27413836376296985, 24.409963574627028], encoded_infidelity:0.011436459282852862, benchmark_infidelity:0.0070998175546160835, diff:0.004336641728236779, ratio:1.6108103053179483
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:TRANSPOSE, code_params:[3, 4.069045286891695, 3, 6.098237155202994], meas_params:[-0.10212220747011497, -0.2807589945710793], noise_params:[0.0009, 0.00015848931924611142, 27.80020604830078], init_params:[4, 7, -0.1, -0.3, 20], optimal_params:[4.069045286891695, 6.098237155202994, -0.10212220747011497, -0.2807589945710793, 27.80020604830078], encoded_infidelity:0.015227976886497907, benchmark_infidelity:0.00898676302846535, diff:0.006241213858032557, ratio:1.6944896441870856
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:TRANSPOSE, code_params:[3, 3.899901021757813, 3, 6.059311043382074], meas_params:[-0.09904183319131662, -0.28416844323016055], noise_params:[0.001, 0.00015848931924611142, 31.668706668518553], init_params:[4, 7, -0.1, -0.3, 20], optimal_params:[3.899901021757813, 6.059311043382074, -0.09904183319131662, -0.28416844323016055, 31.668706668518553], encoded_infidelity:0.019941776421674162, benchmark_infidelity:0.011254318643087124, diff:0.008687457778587038, ratio:1.7719221442093467
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:TRANSPOSE, code_params:[3, 5.833353741230294, 3, 8.004902655085859], meas_params:[-0.1262867483407345, -0.2804804744960797], noise_params:[0.0002, 0.00015848931924611142, 19.808055604039524], init_params:[6, 8, -0.1, -0.3, 20], optimal_params:[5.833353741230294, 8.004902655085859, -0.1262867483407345, -0.2804804744960797, 19.808055604039524], encoded_infidelity:0.0011325797209457145, benchmark_infidelity:0.001840359933387048, diff:-0.0007077802124413335, ratio:0.6154120726054301
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:TRANSPOSE, code_params:[3, 5.372637563738859, 3, 7.535793530931149], meas_params:[-0.12295251960111675, -0.2806723702886779], noise_params:[0.0003, 0.00015848931924611142, 20.493779071790943], init_params:[6, 8, -0.1, -0.3, 20], optimal_params:[5.372637563738859, 7.535793530931149, -0.12295251960111675, -0.2806723702886779, 20.493779071790943], encoded_infidelity:0.002221808403155223, benchmark_infidelity:0.0025839023194947908, diff:-0.00036209391633956756, ratio:0.8598654780377438
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:TRANSPOSE, code_params:[3, 6.61568555122647, 3, 8.729036954396658], meas_params:[-0.12939698662123267, -0.27888460152330297], noise_params:[0.0001, 0.00015848931924611142, 18.526889927863763], init_params:[6, 8.5, -0.1, -0.3, 20], optimal_params:[6.61568555122647, 8.729036954396658, -0.12939698662123267, -0.27888460152330297, 18.526889927863763], encoded_infidelity:0.0003458896476368212, benchmark_infidelity:0.0011057079874930986, diff:-0.0007598183398562774, ratio:0.31282187661593613
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:TRANSPOSE, code_params:[3, 5.366551922503096, 3, 7.1731598287727865], meas_params:[-0.12114107693853732, -0.2739370739970697], noise_params:[0.0004, 0.00025118864315095795, 17.071255131037574], init_params:[5, 8, -0.1, -0.3, 20], optimal_params:[5.366551922503096, 7.1731598287727865, -0.12114107693853732, -0.2739370739970697, 17.071255131037574], encoded_infidelity:0.0035882345447776354, benchmark_infidelity:0.002981835115913767, diff:0.0006063994288638686, ratio:1.2033645071880645
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:TRANSPOSE, code_params:[3, 5.050424913531584, 3, 6.785528214554091], meas_params:[-0.11993608907293801, -0.2705490132741135], noise_params:[0.0005, 0.00025118864315095795, 17.663258535938233], init_params:[5, 8, -0.1, -0.3, 20], optimal_params:[5.050424913531584, 6.785528214554091, -0.11993608907293801, -0.2705490132741135, 17.663258535938233], encoded_infidelity:0.005118298883959427, benchmark_infidelity:0.0036695447495844746, diff:0.0014487541343749522, ratio:1.3948048690614834
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:TRANSPOSE, code_params:[3, 4.848460091337849, 3, 6.576754534518569], meas_params:[-0.11454905653087716, -0.2710225154977543], noise_params:[0.0006, 0.00025118864315095795, 18.324804128340734], init_params:[5, 8, -0.1, -0.3, 20], optimal_params:[4.848460091337849, 6.576754534518569, -0.11454905653087716, -0.2710225154977543, 18.324804128340734], encoded_infidelity:0.006852169430911714, benchmark_infidelity:0.004411976549470897, diff:0.002440192881440817, ratio:1.5530838285469706
