scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[4, 6.826048663607354, 4, 8.403687914705294], meas_params:[-0.045966729311961045, -0.1073620825130404], noise_params:[0.0001, 0.00015848931924611142, 12.605065892893517], init_params:[3, 8, -0.2, -0.2, 7], optimal_params:[6.826048663607354, 8.403687914705294, -0.045966729311961045, -0.1073620825130404, 12.605065892893517], encoded_infidelity:0.00029907618954412097, benchmark_infidelity:0.0007525557896882473, diff:-0.00045347960014412636, ratio:0.39741397733185446
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[4, 7.685813866125569, 4, 8.851221465331427], meas_params:[-0.0696310629780849, -0.11253511540598526], noise_params:[0.0001, 0.00015848931924611142, 6.224935198065299], init_params:[5, 8, -0.1, -0.1, 15], optimal_params:[7.685813866125569, 8.851221465331427, -0.0696310629780849, -0.11253511540598526, 6.224935198065299], encoded_infidelity:0.00010580157990181457, benchmark_infidelity:0.00037178866035747493, diff:-0.00026598708045566034, ratio:0.28457452091219326
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[4, 7.355386382644193, 4, 8.935549856435909], meas_params:[-0.04863025356096988, -0.14661159084387404], noise_params:[0.0001, 0.00015848931924611142, 16.99765047857036], init_params:[5, 8, -0.2, -0.2, 15], optimal_params:[7.355386382644193, 8.935549856435909, -0.04863025356096988, -0.14661159084387404, 16.99765047857036], encoded_infidelity:0.00041542169074504094, benchmark_infidelity:0.001014534954045132, diff:-0.0005991132633000911, ratio:0.4094700622079904
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[4, 6.451828271413485, 4, 7.125718683723484], meas_params:[-0.03190350817461847, -0.10112578039732001], noise_params:[0.0002, 0.00015848931924611142, 8.061601599309007], init_params:[3, 8, -0.1, -0.1, 7], optimal_params:[6.451828271413485, 7.125718683723484, -0.03190350817461847, -0.10112578039732001, 8.061601599309007], encoded_infidelity:0.0006257680372946096, benchmark_infidelity:0.0007498220470427697, diff:-0.00012405400974816003, ratio:0.8345553985276669
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[4, 7.091237760000798, 4, 8.769278795731466], meas_params:[-0.07882645295272425, -0.14404581453678517], noise_params:[0.0002, 0.00015848931924611142, 8.504980192827198], init_params:[3, 8, -0.2, -0.2, 7], optimal_params:[7.091237760000798, 8.769278795731466, -0.07882645295272425, -0.14404581453678517, 8.504980192827198], encoded_infidelity:0.0004982303587169968, benchmark_infidelity:0.0007910286481734863, diff:-0.0002927982894564895, ratio:0.6298512195069403
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[4, 6.992936609925421, 4, 8.65679349876509], meas_params:[-0.06382435859053029, -0.1352063369315232], noise_params:[0.0002, 0.00015848931924611142, 7.672298949173079], init_params:[5, 8, -0.1, -0.1, 15], optimal_params:[6.992936609925421, 8.65679349876509, -0.06382435859053029, -0.1352063369315232, 7.672298949173079], encoded_infidelity:0.00044883672284723274, benchmark_infidelity:0.0007136383293510073, diff:-0.0002648016065037746, ratio:0.6289414460899418
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[4, 6.843427591089656, 4, 8.991022320562902], meas_params:[-0.06478596406357143, -0.1540084240208154], noise_params:[0.0002, 0.00015848931924611142, 12.160339364892675], init_params:[5, 8, -0.2, -0.2, 15], optimal_params:[6.843427591089656, 8.991022320562902, -0.06478596406357143, -0.1540084240208154, 12.160339364892675], encoded_infidelity:0.0008121001794651239, benchmark_infidelity:0.0011306195059619384, diff:-0.00031851932649681447, ratio:0.7182789392742556
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[4, 5.977777737758702, 4, 7.048462132739794], meas_params:[-0.06071413139302509, -0.11890398554261454], noise_params:[0.0004, 0.00015848931924611142, 6.411879607107413], init_params:[3, 8, -0.1, -0.1, 7], optimal_params:[5.977777737758702, 7.048462132739794, -0.06071413139302509, -0.11890398554261454, 6.411879607107413], encoded_infidelity:0.0013861826171395386, benchmark_infidelity:0.001023204672717104, diff:0.0003629779444224346, ratio:1.3547461755218067
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[4, 5.795270588967982, 4, 7.758319519614798], meas_params:[-0.06051656010014314, -0.14429361253731093], noise_params:[0.0004, 0.00015848931924611142, 11.932946747877637], init_params:[3, 8, -0.2, -0.2, 7], optimal_params:[5.795270588967982, 7.758319519614798, -0.06051656010014314, -0.14429361253731093, 11.932946747877637], encoded_infidelity:0.0026264483220373525, benchmark_infidelity:0.0019025228631855962, diff:0.0007239254588517563, ratio:1.3805081520227362
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[4, 6.019081063685924, 4, 8.378893782630382], meas_params:[-0.07813751902574398, -0.09802692588276438], noise_params:[0.0004, 0.00015848931924611142, 11.326424865135639], init_params:[5, 8, -0.1, -0.1, 15], optimal_params:[6.019081063685924, 8.378893782630382, -0.07813751902574398, -0.09802692588276438, 11.326424865135639], encoded_infidelity:0.0032241386029619704, benchmark_infidelity:0.0018060027777178078, diff:0.0014181358252441626, ratio:1.785234575904816
