scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, code_params:[2, 7.424197611557566, 2, 8.376430832542423], meas_params:[0.01388829621565784, 0.13609910772174], noise_params:[0, 0.0016, 1.9780788990311617], init_params:[3, 8, -0.3, -0.3, 7], optimal_params:[7.424197611557566, 8.376430832542423, 0.01388829621565784, 0.13609910772174, 1.9780788990311617], encoded_infidelity:1.1642731223560077e-10, benchmark_infidelity:0.0005270705615553206, diff:-0.0005270704451280084, ratio:2.2089511486287157e-07
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, code_params:[2, 8.397971523681491, 2, 8.259275411543973], meas_params:[-0.09823453279185386, -0.11713677729112862], noise_params:[0, 0.0016, 0.5428153627581955], init_params:[5, 8, -0.1, -0.1, 15], optimal_params:[8.397971523681491, 8.259275411543973, -0.09823453279185386, -0.11713677729112862, 0.5428153627581955], encoded_infidelity:4.8177128952886505e-11, benchmark_infidelity:0.00014471933877613363, diff:-0.00014471929059900468, ratio:3.329004220190068e-07
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, code_params:[2, 8.992533178612824, 2, 8.874705845079166], meas_params:[-0.009279537248837906, -0.33157194220644803], noise_params:[0, 0.0016, 13.551106965267358], init_params:[5, 8, -0.3, -0.3, 15], optimal_params:[8.992533178612824, 8.874705845079166, -0.009279537248837906, -0.33157194220644803, 13.551106965267358], encoded_infidelity:1.3216370112645315e-05, benchmark_infidelity:0.0035941116478150903, diff:-0.003580895277702445, ratio:0.003677228591571363
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, code_params:[2, 8.201397119508496, 2, 8.386794024533447], meas_params:[0.028595046064259083, -0.11069074716810945], noise_params:[0, 0.0032, 1.011220423094958], init_params:[3, 8, -0.1, -0.1, 7], optimal_params:[8.201397119508496, 8.386794024533447, 0.028595046064259083, -0.11069074716810945, 1.011220423094958], encoded_infidelity:1.0116175364061064e-07, benchmark_infidelity:0.0005388814990467949, diff:-0.0005387803372931543, ratio:0.00018772541610641942
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, code_params:[2, 8.532607199237052, 2, 8.742318070357296], meas_params:[0.01272120142983663, 0.050657356302097306], noise_params:[0, 0.0032, 0.4147688600911663], init_params:[3, 8, -0.3, -0.3, 7], optimal_params:[8.532607199237052, 8.742318070357296, 0.01272120142983663, 0.050657356302097306, 0.4147688600911663], encoded_infidelity:7.815338265437788e-09, benchmark_infidelity:0.00022113667411505222, diff:-0.00022112885877678679, ratio:3.534166504363564e-05
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, code_params:[2, 8.908189972792002, 2, 7.895872514516116], meas_params:[-0.08908006335487637, -0.13486491665689776], noise_params:[0, 0.0032, 0.819161208590891], init_params:[5, 8, -0.1, -0.1, 15], optimal_params:[8.908189972792002, 7.895872514516116, -0.08908006335487637, -0.13486491665689776, 0.819161208590891], encoded_infidelity:4.0955449331914195e-07, benchmark_infidelity:0.0004365997989204118, diff:-0.00043619024442709264, ratio:0.000938054699823167
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, code_params:[2, 8.998412941198659, 2, 8.167544063903986], meas_params:[-0.01812083968367119, -0.3203559458066496], noise_params:[0, 0.0032, 11.515837471401], init_params:[5, 8, -0.3, -0.3, 15], optimal_params:[8.998412941198659, 8.167544063903986, -0.01812083968367119, -0.3203559458066496, 11.515837471401], encoded_infidelity:0.0009709553553625128, benchmark_infidelity:0.0060855437131596135, diff:-0.005114588357797101, ratio:0.15955112659249848
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, code_params:[2, 8.891071891697962, 2, 8.174152054770872], meas_params:[-0.027952530538065602, -0.04021081809436766], noise_params:[0, 0.0064, 0.6189365696658804], init_params:[3, 8, -0.1, -0.1, 7], optimal_params:[8.891071891697962, 8.174152054770872, -0.027952530538065602, -0.04021081809436766, 0.6189365696658804], encoded_infidelity:2.8696663222471663e-05, benchmark_infidelity:0.0006595456449698389, diff:-0.0006308489817473673, ratio:0.04350974559734067
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, code_params:[2, 8.993603691423644, 2, 8.8002701421599], meas_params:[0.008599100731951324, 0.017388844988937273], noise_params:[0, 0.0064, 1.197560717672073], init_params:[3, 8, -0.3, -0.3, 7], optimal_params:[8.993603691423644, 8.8002701421599, 0.008599100731951324, 0.017388844988937273, 1.197560717672073], encoded_infidelity:5.475412825661774e-05, benchmark_infidelity:0.0012749536035868703, diff:-0.0012201994753302525, ratio:0.042945977094833956
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, code_params:[2, 8.988678693596738, 2, 7.802166919511835], meas_params:[-0.08578420881142973, -0.1382966160844517], noise_params:[0, 0.0064, 1.0753029877267068], init_params:[5, 8, -0.1, -0.1, 15], optimal_params:[8.988678693596738, 7.802166919511835, -0.08578420881142973, -0.1382966160844517, 1.0753029877267068], encoded_infidelity:0.00020041673506965285, benchmark_infidelity:0.0011450187364880904, diff:-0.0009446020014184375, ratio:0.17503358563751978
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, code_params:[2, 8.989884859343146, 2, 8.962584777369125], meas_params:[-0.04422959686474345, -0.34614527840421483], noise_params:[0, 0.0064, 8.745626747966115], init_params:[5, 8, -0.3, -0.3, 15], optimal_params:[8.989884859343146, 8.962584777369125, -0.04422959686474345, -0.34614527840421483, 8.745626747966115], encoded_infidelity:0.01319851928324367, benchmark_infidelity:0.00919934170181591, diff:0.00399917758142776, ratio:1.4347243217020995
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, code_params:[2, 8.837954073438507, 2, 8.649093282461926], meas_params:[-0.018650388635118545, -0.020551463059497788], noise_params:[0, 0.0128, 1.3377830652549263], init_params:[3, 8, -0.1, -0.1, 7], optimal_params:[8.837954073438507, 8.649093282461926, -0.018650388635118545, -0.020551463059497788, 1.3377830652549263], encoded_infidelity:0.0050515526391357035, benchmark_infidelity:0.002841754562805776, diff:0.0022097980763299274, ratio:1.7776174991509848
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, code_params:[2, 7.8535321506499525, 2, 6.6863076144347176], meas_params:[-0.001315077468935097, -0.18790974877940464], noise_params:[0, 0.0128, 7.862194021813906], init_params:[3, 8, -0.3, -0.3, 7], optimal_params:[7.8535321506499525, 6.6863076144347176, -0.001315077468935097, -0.18790974877940464, 7.862194021813906], encoded_infidelity:0.06306371871871974, benchmark_infidelity:0.016357686018877438, diff:0.046706032699842304, ratio:3.85529583132612
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, code_params:[2, 0.12205033006591748, 2, 2.497395997433409], meas_params:[-1.3303966396587141, 1.6834345399802009], noise_params:[0, 0.0128, 138.7580572368451], init_params:[5, 8, -0.1, -0.1, 15], optimal_params:[0.12205033006591748, 2.497395997433409, -1.3303966396587141, 1.6834345399802009, 138.7580572368451], encoded_infidelity:0.3388521835073077, benchmark_infidelity:0.19618111057812893, diff:0.1426710729291788, ratio:1.7272416417092318
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, code_params:[2, 6.2715749023927145, 2, 2.150411808616706], meas_params:[8.55815224215846, 0.4227032291440047], noise_params:[0, 0.0128, 420.6732251939268], init_params:[5, 8, -0.3, -0.3, 15], optimal_params:[6.2715749023927145, 2.150411808616706, 8.55815224215846, 0.4227032291440047, 420.6732251939268], encoded_infidelity:0.3730479236955694, benchmark_infidelity:0.3107585308689149, diff:0.062289392826654466, ratio:1.200443066365665
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, code_params:[2, 8.942297010751911, 2, 8.17105390891551], meas_params:[-0.013626789744117856, -0.026943084486086774], noise_params:[0, 0.009600000000000001, 0.7660288866526495], init_params:[3, 8, -0.1, -0.1, 7], optimal_params:[8.942297010751911, 8.17105390891551, -0.013626789744117856, -0.026943084486086774, 0.7660288866526495], encoded_infidelity:0.0006226528812446341, benchmark_infidelity:0.0012233956648927125, diff:-0.0006007427836480783, ratio:0.5089546245034624
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, code_params:[2, 8.955778291341826, 2, 8.902561953924693], meas_params:[-0.031018593423260073, -0.07736809887174538], noise_params:[0, 0.009600000000000001, 5.445832790545999], init_params:[3, 8, -0.3, -0.3, 7], optimal_params:[8.955778291341826, 8.902561953924693, -0.031018593423260073, -0.07736809887174538, 5.445832790545999], encoded_infidelity:0.014335456285959558, benchmark_infidelity:0.008600435072533608, diff:0.00573502121342595, ratio:1.6668291970183395
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, code_params:[2, 8.984842093695946, 2, 8.890326849573569], meas_params:[-0.04931875499128512, -0.17831404861241024], noise_params:[0, 0.009600000000000001, 1.7286068929993808], init_params:[5, 8, -0.1, -0.1, 15], optimal_params:[8.984842093695946, 8.890326849573569, -0.04931875499128512, -0.17831404861241024, 1.7286068929993808], encoded_infidelity:0.0028290782023159267, benchmark_infidelity:0.002754328464107836, diff:7.474973820809083e-05, ratio:1.0271390065426722
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, code_params:[2, 8.788793141272148, 2, 8.84232842814561], meas_params:[-0.04881040226044904, -0.3078752444719566], noise_params:[0, 0.009600000000000001, 9.29062526910744], init_params:[5, 8, -0.3, -0.3, 15], optimal_params:[8.788793141272148, 8.84232842814561, -0.04881040226044904, -0.3078752444719566, 9.29062526910744], encoded_infidelity:0.04653296725911327, benchmark_infidelity:0.014538420669269136, diff:0.03199454658984413, ratio:3.2006892851486417
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, code_params:[2, 8.710855754828383, 2, 5.952064578263991], meas_params:[-0.015544693934096309, -0.06137922756433868], noise_params:[0, 0.011200000000000002, 1.3972724486978083], init_params:[3, 8, -0.1, -0.1, 7], optimal_params:[8.710855754828383, 5.952064578263991, -0.015544693934096309, -0.06137922756433868, 1.3972724486978083], encoded_infidelity:0.003101349814320975, benchmark_infidelity:0.0025980640790201903, diff:0.0005032857353007847, ratio:1.1937156744380952
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, code_params:[2, 8.63904322478314, 2, 8.517063763046114], meas_params:[-0.01980309111182079, -0.28501115321103687], noise_params:[0, 0.011200000000000002, 5.856553719252041], init_params:[3, 8, -0.3, -0.3, 7], optimal_params:[8.63904322478314, 8.517063763046114, -0.01980309111182079, -0.28501115321103687, 5.856553719252041], encoded_infidelity:0.033460751842263714, benchmark_infidelity:0.010754906875645176, diff:0.022705844966618538, ratio:3.111207956438622
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, code_params:[2, 8.793492828095488, 2, 8.082317723503571], meas_params:[-0.016422859783711163, -0.12541197347468874], noise_params:[0, 0.011200000000000002, 1.4547915098321056], init_params:[5, 8, -0.1, -0.1, 15], optimal_params:[8.793492828095488, 8.082317723503571, -0.016422859783711163, -0.12541197347468874, 1.4547915098321056], encoded_infidelity:0.003597400826782393, benchmark_infidelity:0.0027045789836757095, diff:0.0008928218431066837, ratio:1.330114908270594
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, code_params:[2, 8.89012973381567, 2, 8.511581144907602], meas_params:[1.5750482833780284, 0.2025905192998016], noise_params:[0, 0.011200000000000002, 118.42093195173436], init_params:[5, 8, -0.3, -0.3, 15], optimal_params:[8.89012973381567, 8.511581144907602, 1.5750482833780284, 0.2025905192998016, 118.42093195173436], encoded_infidelity:0.33245507888512404, benchmark_infidelity:0.1615926350130339, diff:0.17086244387209015, ratio:2.0573652930302706
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, code_params:[3, 8.307594680767789, 3, 8.261491718247708], meas_params:[-0.03897886516106856, -0.06914425104491735], noise_params:[0, 0.0001, 8.106670265312657], init_params:[3, 8, -0.1, -0.1, 7], optimal_params:[8.307594680767789, 8.261491718247708, -0.03897886516106856, -0.06914425104491735, 8.106670265312657], encoded_infidelity:9.515610521759754e-12, benchmark_infidelity:0.0001350837922453607, diff:-0.0001350837827297502, ratio:7.044228151720811e-08
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, code_params:[3, 5.350979546694907, 3, 8.967706171094825], meas_params:[0.020701097183313096, -0.2929406994393482], noise_params:[0, 0.0001, 5.541613421164772], init_params:[3, 8, -0.3, -0.3, 7], optimal_params:[5.350979546694907, 8.967706171094825, 0.020701097183313096, -0.2929406994393482, 5.541613421164772], encoded_infidelity:3.785320764870814e-05, benchmark_infidelity:9.234742925146033e-05, diff:-5.449422160275219e-05, ratio:0.4098999610009128
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, code_params:[3, 8.431521614343957, 3, 8.391303745849413], meas_params:[-0.027568021346451137, -0.09752738047683182], noise_params:[0, 0.0001, 15.632027389725636], init_params:[5, 8, -0.1, -0.1, 15], optimal_params:[8.431521614343957, 8.391303745849413, -0.027568021346451137, -0.09752738047683182, 15.632027389725636], encoded_infidelity:5.463129948424239e-11, benchmark_infidelity:0.00026043199956704566, diff:-0.0002604319449357462, ratio:2.0977183900236537e-07
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, code_params:[3, 8.528751241696382, 3, 8.570774991760185], meas_params:[-0.01031575297627274, -0.1242998962343484], noise_params:[0, 0.0001, 23.80909923831649], init_params:[5, 8, -0.3, -0.3, 15], optimal_params:[8.528751241696382, 8.570774991760185, -0.01031575297627274, -0.1242998962343484, 23.80909923831649], encoded_infidelity:2.7524815759960575e-10, benchmark_infidelity:0.00039658221716931674, diff:-0.00039658194192115914, ratio:6.940506802454316e-07
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, code_params:[3, 8.323778342425712, 3, 8.197939723481955], meas_params:[-0.025929028351105294, -0.04979487357509485], noise_params:[0, 0.0002, 3.49385233266373], init_params:[3, 8, -0.1, -0.1, 7], optimal_params:[8.323778342425712, 8.197939723481955, -0.025929028351105294, -0.04979487357509485, 3.49385233266373], encoded_infidelity:1.0229594948896192e-11, benchmark_infidelity:0.00011644140178468376, diff:-0.00011644139155508881, ratio:8.785187048685764e-08
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, code_params:[3, 8.322616159258171, 3, 7.7885066688230475], meas_params:[-0.00819345934871648, -0.038886424926525304], noise_params:[0, 0.0002, 4.990852981968795], init_params:[3, 8, -0.3, -0.3, 7], optimal_params:[8.322616159258171, 7.7885066688230475, -0.00819345934871648, -0.038886424926525304, 4.990852981968795], encoded_infidelity:1.35690347846662e-11, benchmark_infidelity:0.00016632025861529343, diff:-0.00016632024504625864, ratio:8.158377636997316e-08
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, code_params:[3, 8.518096254442789, 3, 8.47785926923822], meas_params:[-8.972947980471352e-05, -0.09396211331657517], noise_params:[0, 0.0002, 13.7528571200309], init_params:[5, 8, -0.1, -0.1, 15], optimal_params:[8.518096254442789, 8.47785926923822, -8.972947980471352e-05, -0.09396211331657517, 13.7528571200309], encoded_infidelity:7.81384290604592e-10, benchmark_infidelity:0.0004581134799996889, diff:-0.00045811269861539827, ratio:1.7056566215976066e-06
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, code_params:[3, 8.993492729614967, 3, 8.953879625069007], meas_params:[-0.13165826653832718, -0.21911268368327586], noise_params:[0, 0.0002, 11.211067601473793], init_params:[5, 8, -0.3, -0.3, 15], optimal_params:[8.993492729614967, 8.953879625069007, -0.13165826653832718, -0.21911268368327586, 11.211067601473793], encoded_infidelity:9.421806613785222e-07, benchmark_infidelity:0.00037349285158272405, diff:-0.00037255067092134553, ratio:0.0025226203323193744
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, code_params:[3, 8.344387807983992, 3, 8.266611692635838], meas_params:[-0.015708261104271523, -0.02693990939541044], noise_params:[0, 0.0004, 1.224945055725438], init_params:[3, 8, -0.1, -0.1, 7], optimal_params:[8.344387807983992, 8.266611692635838, -0.015708261104271523, -0.02693990939541044, 1.224945055725438], encoded_infidelity:3.023747918717845e-11, benchmark_infidelity:8.165300126261599e-05, diff:-8.16529710251368e-05, ratio:3.703168128496261e-07
