scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, code_params:[4, 8.098119482164977, 4, 8.8554851261024], meas_params:[-0.10500142505141263, -0.12714054013210585], noise_params:[0.0001, 0, 6.847185527303939], init_params:[3, 8, -0.2, -0.2, 7], optimal_params:[8.098119482164977, 8.8554851261024, -0.10500142505141263, -0.12714054013210585, 6.847185527303939], encoded_infidelity:3.827744912232589e-05, benchmark_infidelity:0.00022818092378518173, diff:-0.00018990347466285584, ratio:0.1677504345558779
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, code_params:[4, 7.45554006070317, 4, 8.999946557662668], meas_params:[-0.09441012466209972, -0.15418605153195875], noise_params:[0.0001, 0, 13.319322392650143], init_params:[5, 8, -0.1, -0.1, 15], optimal_params:[7.45554006070317, 8.999946557662668, -0.09441012466209972, -0.15418605153195875, 13.319322392650143], encoded_infidelity:7.309515984488257e-05, benchmark_infidelity:0.0004437557396727021, diff:-0.0003706605798278195, ratio:0.16471935641620067
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, code_params:[4, 7.36990764305186, 4, 8.999898371198597], meas_params:[-0.09255677485019975, -0.15465494087750004], noise_params:[0.0001, 0, 16.179868761902966], init_params:[5, 8, -0.2, -0.2, 15], optimal_params:[7.36990764305186, 8.999898371198597, -0.09255677485019975, -0.15465494087750004, 16.179868761902966], encoded_infidelity:9.212372389788559e-05, benchmark_infidelity:0.0005390018705576649, diff:-0.0004468781466597793, ratio:0.17091540666189536
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, code_params:[4, 8.147826404902446, 4, 8.391484108386727], meas_params:[-0.11439360597351811, -0.1394656656292887], noise_params:[0.0002, 0, 4.204772621880036], init_params:[3, 8, -0.1, -0.1, 7], optimal_params:[8.147826404902446, 8.391484108386727, -0.11439360597351811, -0.1394656656292887, 4.204772621880036], encoded_infidelity:0.0001004255277448074, benchmark_infidelity:0.00028022979487440924, diff:-0.00017980426712960185, ratio:0.3583684875115266
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, code_params:[4, 7.949566680073666, 4, 8.35278902530867], meas_params:[-0.12395929909281761, -0.13951616892777335], noise_params:[0.0002, 0, 4.3019486881753455], init_params:[3, 8, -0.2, -0.2, 7], optimal_params:[7.949566680073666, 8.35278902530867, -0.12395929909281761, -0.13951616892777335, 4.3019486881753455], encoded_infidelity:0.00010165725229416278, benchmark_infidelity:0.0002867040675100796, diff:-0.00018504681521591682, ratio:0.3545720616279322
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, code_params:[4, 7.165789155391314, 4, 8.99178997508221], meas_params:[-0.10615686349145576, -0.17170815722691835], noise_params:[0.0002, 0, 12.586770281430884], init_params:[5, 8, -0.1, -0.1, 15], optimal_params:[7.165789155391314, 8.99178997508221, -0.10615686349145576, -0.17170815722691835, 12.586770281430884], encoded_infidelity:0.0002855511290423829, benchmark_infidelity:0.0008383264384294042, diff:-0.0005527753093870214, ratio:0.34062045040278094
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, code_params:[4, 6.9277945444133096, 4, 8.371426971978273], meas_params:[-0.08942649251100906, -0.1501326917436997], noise_params:[0.0002, 0, 11.476542978202936], init_params:[5, 8, -0.2, -0.2, 15], optimal_params:[6.9277945444133096, 8.371426971978273, -0.08942649251100906, -0.1501326917436997, 11.476542978202936], encoded_infidelity:0.0002640372674016511, benchmark_infidelity:0.0007644447296887291, diff:-0.000500407462287078, ratio:0.3453974592893894
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, code_params:[4, 7.333548580647605, 4, 7.87040886968305], meas_params:[-0.1143044366012296, -0.14282994024946638], noise_params:[0.0004, 0, 5.983506920621732], init_params:[3, 8, -0.1, -0.1, 7], optimal_params:[7.333548580647605, 7.87040886968305, -0.1143044366012296, -0.14282994024946638, 5.983506920621732], encoded_infidelity:0.0005772878076820698, benchmark_infidelity:0.0007970853514446263, diff:-0.00021979754376255656, ratio:0.7242484216223538
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, code_params:[4, 6.4818912768565795, 4, 7.969187459097796], meas_params:[-0.09844962095111881, -0.15957291728408232], noise_params:[0.0004, 0, 11.611466381246721], init_params:[3, 8, -0.2, -0.2, 7], optimal_params:[6.4818912768565795, 7.969187459097796, -0.09844962095111881, -0.15957291728408232, 11.611466381246721], encoded_infidelity:0.0010499424418735082, benchmark_infidelity:0.0015455024697912378, diff:-0.0004955600279177297, ratio:0.6793534545534123
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, code_params:[4, 6.538830134463325, 4, 7.831337609660789], meas_params:[-0.10260535192013626, -0.15668333933689355], noise_params:[0.0004, 0, 9.725762669080812], init_params:[5, 8, -0.1, -0.1, 15], optimal_params:[6.538830134463325, 7.831337609660789, -0.10260535192013626, -0.15668333933689355, 9.725762669080812], encoded_infidelity:0.0008763568895741036, benchmark_infidelity:0.001294878589264692, diff:-0.0004185216996905883, ratio:0.6767869179702404
