scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:TRANSPOSE, code_params:[2, 5.115377615274588, 2, 4.809939071527375], meas_params:[-0.32839008481371657, -0.32311456640884384], noise_params:[0.0002, 0.00015848931924611142, 1], init_params:[6, 8, -0.39269908169872414, -0.39269908169872414], optimal_params:[5.115377615274588, 4.809939071527375, -0.32839008481371657, -0.32311456640884384], encoded_infidelity:0.00018225017558270995, benchmark_infidelity:9.307286564208539e-05, diff:8.917730994062456e-05, ratio:1.9581450976652925
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:TRANSPOSE, code_params:[2, 5.254987736929374, 2, 4.949390228896169], meas_params:[-0.3284841258318665, -0.32342746826887014], noise_params:[0.00015000000000000001, 0.00015848931924611142, 1], init_params:[4, 8, -0.39269908169872414, -0.1308996938995747], optimal_params:[5.254987736929374, 4.949390228896169, -0.3284841258318665, -0.32342746826887014], encoded_infidelity:0.00011359731453097766, benchmark_infidelity:7.640904660310976e-05, diff:3.718826792786789e-05, ratio:1.4866998029832028
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:TRANSPOSE, code_params:[2, 5.341743944665629, 2, 5.0379782232270856], meas_params:[-0.3284911964073107, -0.323458935311992], noise_params:[0.000125, 0.00015848931924611142, 1], init_params:[6, 8, -0.39269908169872414, -0.39269908169872414], optimal_params:[5.341743944665629, 5.0379782232270856, -0.3284911964073107, -0.323458935311992], encoded_infidelity:8.400138893005504e-05, benchmark_infidelity:6.807690274523992e-05, diff:1.5924486184815123e-05, ratio:1.2339190759663137
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:TRANSPOSE, code_params:[2, 5.5821078664165675, 2, 5.278803491953219], meas_params:[-0.3284923855777829, -0.3237457847119425], noise_params:[7.5e-05, 0.00015848931924611142, 1], init_params:[5.5, 5.5, -0.3, -0.3], optimal_params:[5.5821078664165675, 5.278803491953219, -0.3284923855777829, -0.3237457847119425], encoded_infidelity:3.5762279009809994e-05, benchmark_infidelity:5.1412146338303266e-05, diff:-1.5649867328493272e-05, ratio:0.6955998058218832
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:TRANSPOSE, code_params:[2, 5.769290722865029, 2, 5.465719623544693], meas_params:[-0.32847061759698115, -0.3239214238503186], noise_params:[5e-05, 0.00015848931924611142, 1], init_params:[5.5, 5.5, -0.3, -0.3], optimal_params:[5.769290722865029, 5.465719623544693, -0.32847061759698115, -0.3239214238503186], encoded_infidelity:1.8017041343632023e-05, benchmark_infidelity:4.307953378257512e-05, diff:-2.5062492438943096e-05, ratio:0.41822739852675905
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:TRANSPOSE, code_params:[2, 5.5361647178201805, 2, 5.2025091159446], meas_params:[-0.32816090503226036, -0.3235662728981419], noise_params:[0.0001, 0.0002511886431509582, 1], init_params:[6, 8, -0.39269908169872414, -0.39269908169872414], optimal_params:[5.5361647178201805, 5.2025091159446, -0.32816090503226036, -0.3235662728981419], encoded_infidelity:6.198998182360693e-05, benchmark_infidelity:7.519213529294522e-05, diff:-1.3202153469338285e-05, ratio:0.8244210858236266
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:TRANSPOSE, code_params:[2, 5.184232074098768, 2, 4.8546730269164176], meas_params:[-0.32798445675595767, -0.3229566430034333], noise_params:[0.0002, 0.0002511886431509582, 1], init_params:[4, 8, -0.39269908169872414, -0.1308996938995747], optimal_params:[5.184232074098768, 4.8546730269164176, -0.32798445675595767, -0.3229566430034333], encoded_infidelity:0.00019310758281054774, benchmark_infidelity:0.00010851962591862385, diff:8.458795689192389e-05, ratio:1.779471511958162
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:TRANSPOSE, code_params:[2, 5.3316387998525805, 2, 5.000645723801176], meas_params:[-0.32812890020130336, -0.323277019790537], noise_params:[0.00015000000000000001, 0.0002511886431509582, 1], init_params:[6, 8, -0.39269908169872414, -0.39269908169872414], optimal_params:[5.3316387998525805, 5.000645723801176, -0.32812890020130336, -0.323277019790537], encoded_infidelity:0.00012085236511027997, benchmark_infidelity:9.185619305329684e-05, diff:2.8996172056983127e-05, ratio:1.3156692117662545
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:TRANSPOSE, code_params:[2, 5.423950281653877, 2, 5.09182119887981], meas_params:[-0.3281438539685422, -0.3234133158501482], noise_params:[0.000125, 0.0002511886431509582, 1], init_params:[6, 8, -0.39269908169872414, -0.39269908169872414], optimal_params:[5.423950281653877, 5.09182119887981, -0.3281438539685422, -0.3234133158501482], encoded_infidelity:8.959891401782993e-05, benchmark_infidelity:8.352424228696975e-05, diff:6.074671730860182e-06, ratio:1.072729444344901
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:TRANSPOSE, code_params:[2, 5.6796948875242865, 2, 5.343659055048384], meas_params:[-0.32817124936286945, -0.32374465246158957], noise_params:[7.5e-05, 0.00025118864315095795, 1], init_params:[6, 6, -0.3, -0.3], optimal_params:[5.6796948875242865, 5.343659055048384, -0.32817124936286945, -0.32374465246158957], encoded_infidelity:3.842950777011023e-05, benchmark_infidelity:6.685987206844768e-05, diff:-2.843036429833745e-05, ratio:0.5747768666199075
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:TRANSPOSE, code_params:[2, 5.879951444916294, 2, 5.539894098160718], meas_params:[-0.32817296710139304, -0.32394706846323695], noise_params:[5e-05, 0.00025118864315095795, 1], init_params:[6, 6, -0.3, -0.3], optimal_params:[5.879951444916294, 5.539894098160718, -0.32817296710139304, -0.32394706846323695], encoded_infidelity:1.947808912527993e-05, benchmark_infidelity:5.8527452610035446e-05, diff:-3.904936348475552e-05, ratio:0.33280261239219056
