scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[2, 4.209017035102939, 2, 4.209017035102939], meas_params:[-0.3180016412671227, -0.3180016412671227], noise_params:[0.0004, 0, 8.153493977523603], init_params:[4, -0.39269908169872414, 10], optimal_params:[4.209017035102939, -0.3180016412671227, 8.153493977523603], encoded_infidelity:0.0013571187394428863, benchmark_infidelity:0.0010858041447056044, diff:0.0002713145947372819, ratio:1.2498743406536212
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[2, 4.222853303735217, 2, 4.222853303735217], meas_params:[-0.3216197292014328, -0.3216197292014328], noise_params:[0.0004, 0, 7.915314286367558], init_params:[6, -0.39269908169872414, 15], optimal_params:[4.222853303735217, -0.3216197292014328, 7.915314286367558], encoded_infidelity:0.0013189984303547675, benchmark_infidelity:0.001054123295419429, diff:0.00026487513493533843, ratio:1.2512752882763551
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[2, 3.7573503955498664, 2, 3.7573503955498664], meas_params:[-0.30222550146167554, -0.30222550146167554], noise_params:[0.0004, 0, 21.648066223713048], init_params:[8, -0.39269908169872414, 20], optimal_params:[3.7573503955498664, -0.30222550146167554, 21.648066223713048], encoded_infidelity:0.0041273745969357956, benchmark_infidelity:0.0028770585552692074, diff:0.0012503160416665882, ratio:1.4345813676182186
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[2, 4.60270056667717, 2, 4.60270056667717], meas_params:[-0.3247703050362266, -0.3247703050362266], noise_params:[0.00030000000000000003, 0, 5.577729878042041], init_params:[2, -0.39269908169872414, 5], optimal_params:[4.60270056667717, -0.3247703050362266, 5.577729878042041], encoded_infidelity:0.0006140327796746448, benchmark_infidelity:0.0005574231508825855, diff:5.660962879205922e-05, ratio:1.1015559341272916
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[2, 4.370718668103992, 2, 4.370718668103992], meas_params:[-0.31928709342204964, -0.31928709342204964], noise_params:[0.00030000000000000003, 0, 7.744962402105147], init_params:[4, -0.39269908169872414, 10], optimal_params:[4.370718668103992, -0.31928709342204964, 7.744962402105147], encoded_infidelity:0.0008210399092685172, benchmark_infidelity:0.0007738218505449757, diff:4.721805872354157e-05, ratio:1.0610192884709673
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[2, 4.323364244800089, 2, 4.323364244800089], meas_params:[-0.31778481575031714, -0.31778481575031714], noise_params:[0.00030000000000000003, 0, 9.12138426078733], init_params:[6, -0.39269908169872414, 15], optimal_params:[4.323364244800089, -0.31778481575031714, 9.12138426078733], encoded_infidelity:0.0009724187690691721, benchmark_infidelity:0.0009112031410341004, diff:6.121562803507175e-05, ratio:1.067181098569963
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[2, 4.305000813241552, 2, 4.305000813241552], meas_params:[-0.30774038705159656, -0.30774038705159656], noise_params:[0.00030000000000000003, 0, 7.705354495353195], init_params:[8, -0.39269908169872414, 20], optimal_params:[4.305000813241552, -0.30774038705159656, 7.705354495353195], encoded_infidelity:0.0008270923545632414, benchmark_infidelity:0.0007698679377168283, diff:5.7224416846413106e-05, ratio:1.0743301728035612
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[3, 5.330994980705135, 3, 5.330994980705135], meas_params:[-0.10807345532320367, -0.10807345532320367], noise_params:[0.0001, 0, 1.6682489489455916], init_params:[2, -0.34906585039886584, 5], optimal_params:[5.330994980705135, -0.10807345532320367, 1.6682489489455916], encoded_infidelity:7.61058815955673e-05, benchmark_infidelity:5.560481964128616e-05, diff:2.050106195428114e-05, ratio:1.3686921760835864
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[3, 5.645755653820073, 3, 5.645755653820073], meas_params:[-0.13382167121566574, -0.13382167121566574], noise_params:[0.0001, 0, 7.175361781209709], init_params:[4, -0.34906585039886584, 10], optimal_params:[5.645755653820073, -0.13382167121566574, 7.175361781209709], encoded_infidelity:0.00014705787329438724, benchmark_infidelity:0.00023911438159496257, diff:-9.205650830057532e-05, ratio:0.6150105749117573
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[3, 8.999012472316327, 3, 8.999012472316327], meas_params:[-0.28491145358364045, -0.28491145358364045], noise_params:[0.0001, 0, 7.510171973068589], init_params:[6, -0.34906585039886584, 15], optimal_params:[8.999012472316327, -0.28491145358364045, 7.510171973068589], encoded_infidelity:7.572157314283956e-05, benchmark_infidelity:0.000250268577120516, diff:-0.00017454700397767642, ratio:0.30256124845579835
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[3, 8.991760590375733, 3, 8.991760590375733], meas_params:[-0.2784344499192216, -0.2784344499192216], noise_params:[0.0001, 0, 5.560737107529519], init_params:[8, -0.34906585039886584, 20], optimal_params:[8.991760590375733, -0.2784344499192216, 5.560737107529519], encoded_infidelity:5.422980080160844e-05, benchmark_infidelity:0.0001853192573078033, diff:-0.00013108945650619486, ratio:0.292629063970056
