scheme:HYBRID, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[4, 5.250861149215071, 1, 9], meas_params:[-0.02062702652498362, 0], noise_params:[0.0008, 0.00015848931924611142, 20.981481481481488], init_params:[6, -0.2945243112740431, 15], optimal_params:[5.250861149215071, -0.02062702652498362, 20.981481481481488], encoded_infidelity:0.003134754804604102, benchmark_infidelity:0.00610914241335081, diff:-0.0029743876087467078, ratio:0.5131251806724075
scheme:HYBRID, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[4, 5.190582548069587, 1, 9], meas_params:[-0.04716258101844094, 0], noise_params:[0.0016, 0.00015848931924611142, 9.18249618749088], init_params:[2, -0.2945243112740431, 5], optimal_params:[5.190582548069587, -0.04716258101844094, 9.18249618749088], encoded_infidelity:0.003367564306590446, benchmark_infidelity:0.005111150953484578, diff:-0.0017435866468941317, ratio:0.6588661413520913
scheme:HYBRID, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[4, 4.845475124681229, 1, 9], meas_params:[-0.04303883550568394, 0], noise_params:[0.0016, 0.00015848931924611142, 12.58518656254557], init_params:[4, -0.2945243112740431, 10], optimal_params:[4.845475124681229, -0.04303883550568394, 12.58518656254557], encoded_infidelity:0.004841144530087979, benchmark_infidelity:0.006990639895686601, diff:-0.002149495365598622, ratio:0.6925180816530238
scheme:HYBRID, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[4, 5.239190246636704, 1, 9], meas_params:[-0.0464939788076769, 0], noise_params:[0.0016, 0.00015848931924611142, 8.951233252616737], init_params:[6, -0.2945243112740431, 15], optimal_params:[5.239190246636704, -0.0464939788076769, 8.951233252616737], encoded_infidelity:0.0032945346781459517, benchmark_infidelity:0.004983128311033869, diff:-0.001688593632887917, ratio:0.6611378380225618
scheme:HYBRID, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[4, 4.6300026110886225, 1, 9], meas_params:[-0.053167976004891926, 0], noise_params:[0.0032, 0.00015848931924611142, 6.4520337206559795], init_params:[2, -0.2945243112740431, 5], optimal_params:[4.6300026110886225, -0.053167976004891926, 6.4520337206559795], encoded_infidelity:0.007918755697583121, benchmark_infidelity:0.006997824982322043, diff:0.0009209307152610782, ratio:1.1316024218364336
scheme:HYBRID, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[4, 3.810018084430081, 1, 9], meas_params:[-0.01849400650286162, 0], noise_params:[0.0032, 0.00015848931924611142, 17.739068693137668], init_params:[4, -0.2945243112740431, 10], optimal_params:[3.810018084430081, -0.01849400650286162, 17.739068693137668], encoded_infidelity:0.021908604105236977, benchmark_infidelity:0.01898030381830651, diff:0.0029283002869304672, ratio:1.1542810017670064
scheme:HYBRID, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[4, 3.5335733882030382, 1, 9], meas_params:[-0.010935241918359012, 0], noise_params:[0.0032, 0.00015848931924611142, 22.87379972565156], init_params:[6, -0.2945243112740431, 15], optimal_params:[3.5335733882030382, -0.010935241918359012, 22.87379972565156], encoded_infidelity:0.029967675358510013, benchmark_infidelity:0.02432437360867512, diff:0.005643301749834892, ratio:1.2320019352038831
scheme:HYBRID, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[4, 4.96421847826308, 1, 9], meas_params:[-0.06091441985003443, 0], noise_params:[0.0024000000000000002, 0.00015848931924611142, 7.007974336473323], init_params:[2, -0.2945243112740431, 5], optimal_params:[4.96421847826308, -0.06091441985003443, 7.007974336473323], encoded_infidelity:0.00529472146375593, benchmark_infidelity:0.005754697299111489, diff:-0.00045997583535555865, ratio:0.9200694994979879
scheme:HYBRID, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[4, 4.190150827559535, 1, 9], meas_params:[-0.029893662120973066, 0], noise_params:[0.0024000000000000002, 0.00015848931924611142, 16.2303090674868], init_params:[4, -0.2945243112740431, 10], optimal_params:[4.190150827559535, -0.029893662120973066, 16.2303090674868], encoded_infidelity:0.012695711464305941, benchmark_infidelity:0.013216799443293792, diff:-0.0005210879789878508, ratio:0.9605738150734934
scheme:HYBRID, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[4, 4.016549399889978, 1, 9], meas_params:[-0.019972101062995122, 0], noise_params:[0.0024000000000000002, 0.00015848931924611142, 21.674052679180704], init_params:[6, -0.2945243112740431, 15], optimal_params:[4.016549399889978, -0.019972101062995122, 21.674052679180704], encoded_infidelity:0.018435647550399274, benchmark_infidelity:0.017563182551306178, diff:0.0008724649990930963, ratio:1.049675791761796
scheme:HYBRID, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[4, 4.583644281870242, 1, 9], meas_params:[-0.04139345076767864, 0], noise_params:[0.0028000000000000004, 0.00015848931924611142, 8.602436914214785], init_params:[2, -0.2945243112740431, 5], optimal_params:[4.583644281870242, -0.04139345076767864, 8.602436914214785], encoded_infidelity:0.008119875638877571, benchmark_infidelity:0.008181337495846708, diff:-6.146185696913678e-05, ratio:0.9924875538993058
scheme:HYBRID, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[4, 4.151390560327567, 1, 9], meas_params:[-0.025803903109105464, 0], noise_params:[0.0028000000000000004, 0.00015848931924611142, 14.01695348310541], init_params:[4, -0.2945243112740431, 10], optimal_params:[4.151390560327567, -0.025803903109105464, 14.01695348310541], encoded_infidelity:0.013532423158391777, benchmark_infidelity:0.013254884866203742, diff:0.00027753829218803497, ratio:1.0209385667992998
scheme:HYBRID, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[4, 3.759739368998648, 1, 9], meas_params:[-0.011689396533418286, 0], noise_params:[0.0028000000000000004, 0.00015848931924611142, 22.673525377229062], init_params:[6, -0.2945243112740431, 15], optimal_params:[3.759739368998648, -0.011689396533418286, 22.673525377229062], encoded_infidelity:0.02442274054732778, benchmark_infidelity:0.021246594060132296, diff:0.003176146487195483, ratio:1.1494896771786727
scheme:HYBRID, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[4, 8.189005910949435, 1, 9], meas_params:[-0.09625786458624566, 0], noise_params:[0.0004, 0.00025118864315095795, 5.022011615359104], init_params:[2, -0.2945243112740431, 5], optimal_params:[8.189005910949435, -0.09625786458624566, 5.022011615359104], encoded_infidelity:0.00024131471729410588, benchmark_infidelity:0.0008790655095017863, diff:-0.0006377507922076804, ratio:0.27451278054450334
scheme:HYBRID, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[4, 7.229210924618896, 1, 9], meas_params:[-0.044014381137123616, 0], noise_params:[0.0004, 0.00025118864315095795, 11.829823031926665], init_params:[4, -0.2945243112740431, 10], optimal_params:[7.229210924618896, -0.044014381137123616, 11.829823031926665], encoded_infidelity:0.0006347442631016893, benchmark_infidelity:0.002068230156737294, diff:-0.0014334858936356047, ratio:0.3069021409604726
scheme:HYBRID, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[4, 7.541455189757668, 1, 9], meas_params:[-0.04391996716912496, 0], noise_params:[0.0004, 0.00025118864315095795, 21.423496799268428], init_params:[6, -0.2945243112740431, 15], optimal_params:[7.541455189757668, -0.04391996716912496, 21.423496799268428], encoded_infidelity:0.002282796890082815, benchmark_infidelity:0.003739163509073884, diff:-0.001456366618991069, ratio:0.610510047111638
scheme:HYBRID, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[4, 6.2451918971365785, 1, 9], meas_params:[-0.04447618089723582, 0], noise_params:[0.0008, 0.00025118864315095795, 11.131687910677174], init_params:[2, -0.2945243112740431, 5], optimal_params:[6.2451918971365785, -0.04447618089723582, 11.131687910677174], encoded_infidelity:0.0017615183606020384, benchmark_infidelity:0.0034221924026688333, diff:-0.001660674042066795, ratio:0.5147338762216582
scheme:HYBRID, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[4, 5.888096225696875, 1, 9], meas_params:[-0.03451329494824719, 0], noise_params:[0.0008, 0.00025118864315095795, 14.862534644983945], init_params:[4, -0.2945243112740431, 10], optimal_params:[5.888096225696875, -0.03451329494824719, 14.862534644983945], encoded_infidelity:0.0026509753187658534, benchmark_infidelity:0.004563680796761838, diff:-0.0019127054779959842, ratio:0.5808853504055004
scheme:HYBRID, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[4, 5.501971949849574, 1, 9], meas_params:[-0.021664688797498916, 0], noise_params:[0.0008, 0.00025118864315095795, 18.191684907167478], init_params:[6, -0.2945243112740431, 15], optimal_params:[5.501971949849574, -0.021664688797498916, 18.191684907167478], encoded_infidelity:0.0036698747748269826, benchmark_infidelity:0.0055799536373678515, diff:-0.001910078862540869, ratio:0.6576891159543967
