scheme:HYBRID, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[2, 3.851298153863734, 1, 9], meas_params:[-0.22076317669900059, 0], noise_params:[0.0001, 0.00015848931924611142, 19.424128491274203], init_params:[6, -0.39269908169872414, 15], optimal_params:[3.851298153863734, -0.22076317669900059, 19.424128491274203], encoded_infidelity:0.0004981406015816145, benchmark_infidelity:0.0011591933622691064, diff:-0.0006610527606874919, ratio:0.4297303778607829
scheme:HYBRID, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[2, 4.1521609057324, 1, 9], meas_params:[-0.2655443073928919, 0], noise_params:[0.0002, 0.00015848931924611142, 7.914736850264289], init_params:[2, -0.39269908169872414, 5], optimal_params:[4.1521609057324, -0.2655443073928919, 7.914736850264289], encoded_infidelity:0.0005168614883340394, benchmark_infidelity:0.000736172018292458, diff:-0.00021931052995841863, ratio:0.7020933633594133
scheme:HYBRID, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[2, 3.772215899107578, 1, 9], meas_params:[-0.23954940776825162, 0], noise_params:[0.0002, 0.00015848931924611142, 11.72130367102995], init_params:[4, -0.39269908169872414, 10], optimal_params:[3.772215899107578, -0.23954940776825162, 11.72130367102995], encoded_infidelity:0.0007605277256665646, benchmark_infidelity:0.0010898443738008856, diff:-0.000329316648134321, ratio:0.6978314922287362
scheme:HYBRID, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[2, 3.5109875624682045, 1, 9], meas_params:[-0.2070699298899893, 0], noise_params:[0.0002, 0.00015848931924611142, 16.759632724372892], init_params:[6, -0.39269908169872414, 15], optimal_params:[3.5109875624682045, -0.2070699298899893, 16.759632724372892], encoded_infidelity:0.0010943224804014955, benchmark_infidelity:0.001557574833680353, diff:-0.0004632523532788575, ratio:0.7025809975471609
scheme:HYBRID, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[2, 3.0831252784138705, 1, 9], meas_params:[-0.18833774718386675, 0], noise_params:[0.0004, 0.00015848931924611142, 13.439917057016224], init_params:[2, -0.39269908169872414, 5], optimal_params:[3.0831252784138705, -0.18833774718386675, 13.439917057016224], encoded_infidelity:0.0022669489204090775, benchmark_infidelity:0.002142254118083109, diff:0.00012469480232596853, ratio:1.0582072879558964
scheme:HYBRID, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[2, 3.2136276947503477, 1, 9], meas_params:[-0.20396447767662867, 0], noise_params:[0.0004, 0.00015848931924611142, 13.507700756491737], init_params:[4, -0.39269908169872414, 10], optimal_params:[3.2136276947503477, -0.20396447767662867, 13.507700756491737], encoded_infidelity:0.0022446431373927813, benchmark_infidelity:0.0021530344596426554, diff:9.160867775012595e-05, ratio:1.042548635178524
scheme:HYBRID, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[2, 2.49456165005245, 1, 9], meas_params:[-0.03313032223421459, 0], noise_params:[0.0004, 0.00015848931924611142, 44.966255408768056], init_params:[6, -0.39269908169872414, 15], optimal_params:[2.49456165005245, -0.03313032223421459, 44.966255408768056], encoded_infidelity:0.006198344670199302, benchmark_infidelity:0.007130312310550835, diff:-0.0009319676403515328, ratio:0.869294976186038
scheme:HYBRID, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[2, 2.152634299531816, 1, 9], meas_params:[-0.016696036590676727, 0], noise_params:[0.0008, 0.00015848931924611142, 48.94290744383676], init_params:[2, -0.39269908169872414, 5], optimal_params:[2.152634299531816, -0.016696036590676727, 48.94290744383676], encoded_infidelity:0.015403098768119523, benchmark_infidelity:0.014127177748494923, diff:0.0012759210196245999, ratio:1.090316766897092
scheme:HYBRID, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[2, 2.1899854248557293, 1, 9], meas_params:[-0.01930057920279642, 0], noise_params:[0.0008, 0.00015848931924611142, 48.47859322588913], init_params:[4, -0.39269908169872414, 10], optimal_params:[2.1899854248557293, -0.01930057920279642, 48.47859322588913], encoded_infidelity:0.015213870310127237, benchmark_infidelity:0.01399517338083045, diff:0.001218696929296787, ratio:1.0870798021670862
scheme:HYBRID, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[2, 2.2215204783270517, 1, 9], meas_params:[-0.031521567597547616, 0], noise_params:[0.0008, 0.00015848931924611142, 43.503438770710275], init_params:[6, -0.39269908169872414, 15], optimal_params:[2.2215204783270517, -0.031521567597547616, 43.503438770710275], encoded_infidelity:0.013664035391990487, benchmark_infidelity:0.01257833578739953, diff:0.0010856996045909562, ratio:1.0863150438135518
