scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[4, 8.090273526109844, 4, 8.090273526109844], meas_params:[0.11797303912108854, 0.11797303912108854], noise_params:[0.0002, 0.0001, 10.81073968224127], init_params:[6, 0.2945243112740431, 15], optimal_params:[8.090273526109844, 0.11797303912108854, 10.81073968224127], encoded_infidelity:0.000514602454587787, benchmark_infidelity:0.000900067646957381, diff:-0.000385465192369594, leading_ec_infidelity:7.743113530234158e-05, diff_leading:-0.00046289632767193556
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[4, 7.977250334752545, 4, 7.977250334752545], meas_params:[0.11413829511156148, 0.11413829511156148], noise_params:[0.0002, 0.0001, 11.132468995993003], init_params:[7, 0.2945243112740431, 20], optimal_params:[7.977250334752545, 0.11413829511156148, 11.132468995993003], encoded_infidelity:0.000542623940731346, benchmark_infidelity:0.0009268284639508684, diff:-0.00038420452321952236, leading_ec_infidelity:7.819488408211672e-05, diff_leading:-0.0004623994073016391
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[4, 7.980174263678026, 4, 7.980174263678026], meas_params:[0.13004899979101892, 0.13004899979101892], noise_params:[0.0004, 0.0001, 5.214339002275833], init_params:[4, 0.2945243112740431, 5], optimal_params:[7.980174263678026, 0.13004899979101892, 5.214339002275833], encoded_infidelity:0.0006390866714894861, benchmark_infidelity:0.0007815054786646236, diff:-0.00014241880717513755, leading_ec_infidelity:0.00011185277506642333, diff_leading:-0.0002542715822415609
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[4, 8.523711841134372, 4, 8.523711841134372], meas_params:[0.1441633005263031, 0.1441633005263031], noise_params:[0.0004, 0.0001, 5.429159271882806], init_params:[5, 0.2945243112740431, 10], optimal_params:[8.523711841134372, 0.1441633005263031, 5.429159271882806], encoded_infidelity:0.0007082018496337161, benchmark_infidelity:0.0008136742644430095, diff:-0.00010547241480929337, leading_ec_infidelity:0.0001073327753428055, diff_leading:-0.00021280519015209887
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[5, 8.992001598164581, 5, 8.992001598164581], meas_params:[0.04258767164317471, 0.04258767164317471], noise_params:[8e-05, 0.0001, 7.171343987141782], init_params:[4, 0.25132741228718347, 5], optimal_params:[8.992001598164581, 0.04258767164317471, 7.171343987141782], encoded_infidelity:6.614445738328811e-05, benchmark_infidelity:0.0003106614032265531, diff:-0.000244516945843265, leading_ec_infidelity:1.6576912890697848e-05, diff_leading:-0.00026109385873396285
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[5, 9.749135368005259, 5, 9.749135368005259], meas_params:[0.05158678883775959, 0.05158678883775959], noise_params:[8e-05, 0.0001, 7.659621695611005], init_params:[4, 0.25132741228718347, 5], optimal_params:[9.749135368005259, 0.05158678883775959, 7.659621695611005], encoded_infidelity:5.398600212769278e-05, benchmark_infidelity:0.0003318064699321388, diff:-0.000277820467804446, leading_ec_infidelity:1.1114291579183977e-05, diff_leading:-0.00028893475938363
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[5, 9.925864318820018, 5, 9.925864318820018], meas_params:[0.05092391502893625, 0.05092391502893625], noise_params:[8e-05, 0.0001, 11.027130093681727], init_params:[5, 0.25132741228718347, 10], optimal_params:[9.925864318820018, 0.05092391502893625, 11.027130093681727], encoded_infidelity:0.00010017981955545707, benchmark_infidelity:0.0004776133686078543, diff:-0.00037743354905239723, leading_ec_infidelity:1.6833937848126368e-05, diff_leading:-0.0003942674869005236
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[5, 9.999963185057371, 5, 9.999963185057371], meas_params:[0.05065061000636777, 0.05065061000636777], noise_params:[8e-05, 0.0001, 18.387672536686246], init_params:[6, 0.25132741228718347, 15], optimal_params:[9.999963185057371, 0.05065061000636777, 18.387672536686246], encoded_infidelity:0.00030664981302497285, benchmark_infidelity:0.0007961627160831819, diff:-0.000489512903058209, leading_ec_infidelity:5.196004537511012e-05, diff_leading:-0.0005414729484333192
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[5, 9.991936979799597, 5, 9.991936979799597], meas_params:[0.05125344584366125, 0.05125344584366125], noise_params:[8e-05, 0.0001, 18.810697959983322], init_params:[7, 0.25132741228718347, 20], optimal_params:[9.991936979799597, 0.05125344584366125, 18.810697959983322], encoded_infidelity:0.0003240506625225015, benchmark_infidelity:0.0008144642059080276, diff:-0.0004904135433855261, leading_ec_infidelity:5.7130252745341004e-05, diff_leading:-0.0005475437961308671
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[5, 9.956848987376265, 5, 9.956848987376265], meas_params:[0.051482645933926194, 0.051482645933926194], noise_params:[9e-05, 0.0001, 15.938172661260982], init_params:[4, 0.25132741228718347, 5], optimal_params:[9.956848987376265, 0.051482645933926194, 15.938172661260982], encoded_infidelity:0.000270853387565162, benchmark_infidelity:0.0007432281020195441, diff:-0.00047237471445438217, leading_ec_infidelity:3.962589407924266e-05, diff_leading:-0.0005120006085336248
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[5, 9.77111010303473, 5, 9.77111010303473], meas_params:[0.052166911140376526, 0.052166911140376526], noise_params:[9e-05, 0.0001, 10.847455837727576], init_params:[5, 0.25132741228718347, 10], optimal_params:[9.77111010303473, 0.052166911140376526, 10.847455837727576], encoded_infidelity:0.0001207455167060445, benchmark_infidelity:0.0005059582757288572, diff:-0.0003852127590228127, leading_ec_infidelity:2.0754976770454014e-05, diff_leading:-0.0004059677357932667
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[5, 9.929619388987351, 5, 9.929619388987351], meas_params:[0.05340194550500246, 0.05340194550500246], noise_params:[9e-05, 0.0001, 17.801950769069165], init_params:[6, 0.25132741228718347, 15], optimal_params:[9.929619388987351, 0.05340194550500246, 17.801950769069165], encoded_infidelity:0.00034873906424570666, benchmark_infidelity:0.0008300674868481073, diff:-0.0004813284226024006, leading_ec_infidelity:5.826035795453155e-05, diff_leading:-0.0005395887805569322
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[5, 9.952902186361943, 5, 9.952902186361943], meas_params:[0.05376773702100557, 0.05376773702100557], noise_params:[9e-05, 0.0001, 17.80966242469733], init_params:[7, 0.25132741228718347, 20], optimal_params:[9.952902186361943, 0.05376773702100557, 17.80966242469733], encoded_infidelity:0.00034911471542908856, benchmark_infidelity:0.0008304267661557452, diff:-0.0004813120507266566, leading_ec_infidelity:5.829972605619904e-05, diff_leading:-0.0005396117767828557
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[5, 9.587366159019012, 5, 9.587366159019012], meas_params:[0.052843013118297616, 0.052843013118297616], noise_params:[0.0001, 0.0001, 11.713800651888882], init_params:[4, 0.25132741228718347, 5], optimal_params:[9.587366159019012, 0.052843013118297616, 11.713800651888882], encoded_infidelity:0.0001717500707415498, benchmark_infidelity:0.0005853471336815241, diff:-0.00041359706293997434, leading_ec_infidelity:3.0364269597016325e-05, diff_leading:-0.00044396133253699066
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[5, 9.999924198217201, 5, 9.999924198217201], meas_params:[0.057590556619570826, 0.057590556619570826], noise_params:[0.0001, 0.0001, 11.202655775810651], init_params:[5, 0.25132741228718347, 10], optimal_params:[9.999924198217201, 0.057590556619570826, 11.202655775810651], encoded_infidelity:0.00015001334373032638, benchmark_infidelity:0.0005598191571771771, diff:-0.00040980581344685074, leading_ec_infidelity:2.3786029262340413e-05, diff_leading:-0.00043359184270919116
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[5, 9.808972550177984, 5, 9.808972550177984], meas_params:[0.05542460298180249, 0.05542460298180249], noise_params:[0.0001, 0.0001, 17.000184015145592], init_params:[6, 0.25132741228718347, 15], optimal_params:[9.808972550177984, 0.05542460298180249, 17.000184015145592], encoded_infidelity:0.0003771435461265016, benchmark_infidelity:0.0008492870943722641, diff:-0.00047214354824576255, leading_ec_infidelity:6.362026505701834e-05, diff_leading:-0.0005357638133027809
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[5, 9.8425505631098, 5, 9.8425505631098], meas_params:[0.055779708839720755, 0.055779708839720755], noise_params:[0.0001, 0.0001, 16.62485120437188], init_params:[7, 0.25132741228718347, 20], optimal_params:[9.8425505631098, 0.055779708839720755, 16.62485120437188], encoded_infidelity:0.00035807373404594944, benchmark_infidelity:0.0008305519787713544, diff:-0.000472478244725405, leading_ec_infidelity:5.9657572161531114e-05, diff_leading:-0.0005321358168869361
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[5, 9.94201966187984, 5, 9.94201966187984], meas_params:[0.07502824917110201, 0.07502824917110201], noise_params:[0.0002, 0.0001, 5.999501551450123], init_params:[4, 0.25132741228718347, 5], optimal_params:[9.94201966187984, 0.07502824917110201, 5.999501551450123], encoded_infidelity:0.00017637360207223285, benchmark_infidelity:0.0004997035934414251, diff:-0.00032332999136919227, leading_ec_infidelity:3.0395256661819303e-05, diff_leading:-0.0003537252480310116
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[5, 9.476165048651538, 5, 9.476165048651538], meas_params:[0.07010840633395982, 0.07010840633395982], noise_params:[0.0002, 0.0001, 9.877322746042207], init_params:[5, 0.25132741228718347, 10], optimal_params:[9.476165048651538, 0.07010840633395982, 9.877322746042207], encoded_infidelity:0.00042863214306354536, benchmark_infidelity:0.0008224195628341313, diff:-0.00039378741977058596, leading_ec_infidelity:6.92076239339201e-05, diff_leading:-0.00046299504370450606
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[5, 9.373078793166037, 5, 9.373078793166037], meas_params:[0.06756465987474641, 0.06756465987474641], noise_params:[0.0002, 0.0001, 10.03083883946939], init_params:[6, 0.25132741228718347, 15], optimal_params:[9.373078793166037, 0.06756465987474641, 10.03083883946939], encoded_infidelity:0.000442195183726235, benchmark_infidelity:0.000835190941057995, diff:-0.00039299575733175995, leading_ec_infidelity:6.942126103448576e-05, diff_leading:-0.0004624170183662457
