scheme:HYBRID, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:TRANSPOSE, code_params:[3, 3.3715005200196435, 1, 9], meas_params:[-0.05592932750670156, 0], noise_params:[0.0026, 0.00015848931924611142, 10.27029709803552], init_params:[3.5, -0.2, 10], optimal_params:[3.3715005200196435, -0.05592932750670156, 10.27029709803552], encoded_infidelity:0.00948626718899026, benchmark_infidelity:0.009080033378679464, diff:0.00040623381031079653, ratio:1.0447392419574868
scheme:HYBRID, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:TRANSPOSE, code_params:[3, 3.329376781864112, 1, 9], meas_params:[-0.05398509786449641, 0], noise_params:[0.0027, 0.00015848931924611142, 10.459281466185551], init_params:[3.5, 0, 11], optimal_params:[3.329376781864112, -0.05398509786449641, 10.459281466185551], encoded_infidelity:0.01020712323890871, benchmark_infidelity:0.00958673694305645, diff:0.0006203862958522599, ratio:1.0647129778919822
scheme:HYBRID, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:TRANSPOSE, code_params:[3, 3.2920352224201803, 1, 9], meas_params:[-0.05235821581760777, 0], noise_params:[0.0028, 0.00015848931924611142, 10.613682962952122], init_params:[3.5, -0.2, 12], optimal_params:[3.2920352224201803, -0.05235821581760777, 10.613682962952122], encoded_infidelity:0.010918112018309167, benchmark_infidelity:0.010072720114663869, diff:0.0008453919036452984, ratio:1.0839288587414015
scheme:HYBRID, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:TRANSPOSE, code_params:[3, 3.9324132590396834, 1, 9], meas_params:[-0.08009122675708248, 0], noise_params:[0.0016, 0.00015848931924611142, 8.249015575543345], init_params:[4, -0.05, 9], optimal_params:[3.9324132590396834, -0.08009122675708248, 8.249015575543345], encoded_infidelity:0.0036355048654242994, benchmark_infidelity:0.004594172628726967, diff:-0.0009586677633026675, ratio:0.7913296167174476
scheme:HYBRID, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:TRANSPOSE, code_params:[3, 4.662629541364685, 1, 9], meas_params:[-0.1002509634346033, 0], noise_params:[0.0008, 0.00015848931924611142, 7.062809113538519], init_params:[4.5, -0.05, 8], optimal_params:[4.662629541364685, -0.1002509634346033, 7.062809113538519], encoded_infidelity:0.0009865664571089283, benchmark_infidelity:0.002065416286258781, diff:-0.0010788498291498527, ratio:0.47765986143934136
scheme:HYBRID, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:TRANSPOSE, code_params:[3, 5.2575469312463445, 1, 9], meas_params:[-0.10788138163672281, 0], noise_params:[0.0004, 0.00015848931924611142, 7.16450461342718], init_params:[4.7, -0.05, 8], optimal_params:[5.2575469312463445, -0.10788138163672281, 7.16450461342718], encoded_infidelity:0.0002982413132773809, benchmark_infidelity:0.0011431664547277842, diff:-0.0008449251414504033, ratio:0.26089053964446446
scheme:HYBRID, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:TRANSPOSE, code_params:[3, 5.82226331067216, 1, 9], meas_params:[-0.11191150833634836, 0], noise_params:[0.0002, 0.00015848931924611142, 7.639000047101188], init_params:[4.8, -0.05, 7.5], optimal_params:[5.82226331067216, -0.11191150833634836, 7.639000047101188], encoded_infidelity:9.221398434211547e-05, benchmark_infidelity:0.0007105432422794822, diff:-0.0006183292579373667, ratio:0.1297795529604719
scheme:HYBRID, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:TRANSPOSE, code_params:[3, 6.388662026481623, 1, 9], meas_params:[-0.11434166615385656, 0], noise_params:[0.0001, 0.00015848931924611142, 8.275146255118646], init_params:[5, -0.05, 7], optimal_params:[6.388662026481623, -0.11434166615385656, 8.275146255118646], encoded_infidelity:2.8747619744806663e-05, benchmark_infidelity:0.0004941776316340629, diff:-0.00046543001188925626, ratio:0.05817264462122436
scheme:HYBRID, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:TRANSPOSE, code_params:[3, 3.9853250932640223, 1, 9], meas_params:[-0.07782133218872503, 0], noise_params:[0.0016, 0.00025118864315095795, 8.005431399746492], init_params:[4, -0.34906585039886584, 15], optimal_params:[3.9853250932640223, -0.07782133218872503, 8.005431399746492], encoded_infidelity:0.0039026611134044265, benchmark_infidelity:0.0045819670449605, diff:-0.0006793059315560734, ratio:0.8517436016255919
scheme:HYBRID, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:TRANSPOSE, code_params:[3, 3.8953759334491913, 1, 9], meas_params:[-0.07430278207005521, 0], noise_params:[0.0017, 0.00025118864315095795, 8.35950444144079], init_params:[4, -0.34906585039886584, 15], optimal_params:[3.8953759334491913, -0.07430278207005521, 8.35950444144079], encoded_infidelity:0.004466285852980589, benchmark_infidelity:0.005059215722168275, diff:-0.0005929298691876861, ratio:0.8828020187813679
