scheme:HYBRID, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:TRANSPOSE, code_params:[2, 2.452602740151843, 1, 9], meas_params:[-0.03283987902660478, 0], noise_params:[0.0007, 0.00039810717055349735, 25.928625755932003], init_params:[2.5, -0.3, 25], optimal_params:[2.452602740151843, -0.03283987902660478, 25.928625755932003], encoded_infidelity:0.008564108473703258, benchmark_infidelity:0.007709502793730283, diff:0.0008546056799729751, ratio:1.1108509462721745
scheme:HYBRID, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:TRANSPOSE, code_params:[2, 2.893778811897689, 1, 9], meas_params:[-0.04012681797473139, 0], noise_params:[0.0002, 0.00039810717055349735, 30.091017844118372], init_params:[3, 0, 33], optimal_params:[2.893778811897689, -0.04012681797473139, 30.091017844118372], encoded_infidelity:0.002317940624390169, benchmark_infidelity:0.00398617457897632, diff:-0.0016682339545861513, ratio:0.5814950094296757
scheme:HYBRID, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:TRANSPOSE, code_params:[2, 3.145706839904091, 1, 9], meas_params:[-0.041696891742076705, 0], noise_params:[0.0001, 0.00039810717055349735, 32.90873494042816], init_params:[3, 0, 35], optimal_params:[3.145706839904091, -0.041696891742076705, 32.90873494042816], encoded_infidelity:0.0011590336608868768, benchmark_infidelity:0.0032684249090689788, diff:-0.002109391248182102, ratio:0.35461535544869877
scheme:HYBRID, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:TRANSPOSE, code_params:[2, 2.937367687334392, 1, 9], meas_params:[-0.03785533187447912, 0], noise_params:[0.00025, 0.000630957344480193, 24.093879564467507], init_params:[4, -0.39269908169872414, 10], optimal_params:[2.937367687334392, -0.03785533187447912, 24.093879564467507], encoded_infidelity:0.0028519485886052687, benchmark_infidelity:0.004519801724221284, diff:-0.0016678531356160153, ratio:0.6309897563253465
scheme:HYBRID, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:TRANSPOSE, code_params:[2, 2.866453753654244, 1, 9], meas_params:[-0.037275985527947766, 0], noise_params:[0.0003, 0.000630957344480193, 23.729996472703675], init_params:[4, -0.39269908169872414, 10], optimal_params:[2.866453753654244, -0.037275985527947766, 23.729996472703675], encoded_infidelity:0.003425623664032429, benchmark_infidelity:0.00484396192192682, diff:-0.0014183382578943915, ratio:0.7071945897274502
scheme:HYBRID, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:TRANSPOSE, code_params:[2, 2.8069532233908605, 1, 9], meas_params:[-0.03669821016633267, 0], noise_params:[0.00035, 0.000630957344480193, 23.42586437332715], init_params:[3, -0.39269908169872414, 20], optimal_params:[2.8069532233908605, -0.03669821016633267, 23.42586437332715], encoded_infidelity:0.004005142944825013, benchmark_infidelity:0.005168965392529756, diff:-0.0011638224477047432, ratio:0.7748442174933668
scheme:HYBRID, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:TRANSPOSE, code_params:[2, 2.755588090113174, 1, 9], meas_params:[-0.03611645711833142, 0], noise_params:[0.0004, 0.000630957344480193, 23.172298443996567], init_params:[3, -0.39269908169872414, 30], optimal_params:[2.755588090113174, -0.03611645711833142, 23.172298443996567], encoded_infidelity:0.004590920756633365, benchmark_infidelity:0.005495605694361694, diff:-0.0009046849377283284, ratio:0.835380304184395
scheme:HYBRID, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:TRANSPOSE, code_params:[2, 2.7103082845931636, 1, 9], meas_params:[-0.03553032797160083, 0], noise_params:[0.00045, 0.000630957344480193, 22.961245376764218], init_params:[3, -0.39269908169872414, 30], optimal_params:[2.7103082845931636, -0.03553032797160083, 22.961245376764218], encoded_infidelity:0.005183211695248269, benchmark_infidelity:0.005824352528287613, diff:-0.0006411408330393442, ratio:0.889920668447615
scheme:HYBRID, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:TRANSPOSE, code_params:[2, 2.669767480925893, 1, 9], meas_params:[-0.03494452347559136, 0], noise_params:[0.0005, 0.000630957344480193, 22.785799310648983], init_params:[3, -0.39269908169872414, 30], optimal_params:[2.669767480925893, -0.03494452347559136, 22.785799310648983], encoded_infidelity:0.005782125109364489, benchmark_infidelity:0.00615545065873091, diff:-0.00037332554936642115, ratio:0.9393504115191151
scheme:HYBRID, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:TRANSPOSE, code_params:[2, 2.6330411216274214, 1, 9], meas_params:[-0.03436506088947852, 0], noise_params:[0.00055, 0.000630957344480193, 22.64005594686831], init_params:[3, -0.39269908169872414, 30], optimal_params:[2.6330411216274214, -0.03436506088947852, 22.64005594686831], encoded_infidelity:0.006387635733960728, benchmark_infidelity:0.006488973851837776, diff:-0.00010133811787704783, ratio:0.9843830287822246
scheme:HYBRID, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:TRANSPOSE, code_params:[2, 2.5994599793865456, 1, 9], meas_params:[-0.03379931560224958, 0], noise_params:[0.0006, 0.000630957344480193, 22.51952642701834], init_params:[3, -0.39269908169872414, 30], optimal_params:[2.5994599793865456, -0.03379931560224958, 22.51952642701834], encoded_infidelity:0.006999770625570334, benchmark_infidelity:0.006825032619665161, diff:0.00017473800590517286, ratio:1.025602515862224
scheme:HYBRID, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:TRANSPOSE, code_params:[2, 2.539913405930725, 1, 9], meas_params:[-0.03272524137694141, 0], noise_params:[0.0007, 0.000630957344480193, 22.336511197699465], init_params:[2.5, -0.3, 25], optimal_params:[2.539913405930725, -0.03272524137694141, 22.336511197699465], encoded_infidelity:0.008242669801341584, benchmark_infidelity:0.0075038398208165935, diff:0.0007388299805249909, ratio:1.0984602547718814
scheme:HYBRID, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:TRANSPOSE, code_params:[2, 3.31164583464299, 1, 9], meas_params:[-0.04028471986796078, 0], noise_params:[0.0001, 0.000630957344480193, 25.64419502328116], init_params:[3, 0, 30], optimal_params:[3.31164583464299, -0.04028471986796078, 25.64419502328116], encoded_infidelity:0.001160081026814641, benchmark_infidelity:0.003536396445140255, diff:-0.002376315418325614, ratio:0.32804043460931365
scheme:HYBRID, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:TRANSPOSE, code_params:[2, 3.1993919529803034, 1, 9], meas_params:[-0.03691705910047003, 0], noise_params:[0.0002, 0.001, 18.839840071595116], init_params:[4, -0.39269908169872414, 10], optimal_params:[3.1993919529803034, -0.03691705910047003, 18.839840071595116], encoded_infidelity:0.0023159344233451007, benchmark_infidelity:0.004373564679428177, diff:-0.002057630256083076, ratio:0.529530164316193
scheme:HYBRID, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:TRANSPOSE, code_params:[2, 3.100169578053472, 1, 9], meas_params:[-0.036339296136695745, 0], noise_params:[0.00025, 0.001, 18.774172108498966], init_params:[4, -0.39269908169872414, 10], optimal_params:[3.100169578053472, -0.036339296136695745, 18.774172108498966], encoded_infidelity:0.0028706075699785893, benchmark_infidelity:0.004668852371971455, diff:-0.0017982448019928654, ratio:0.614842222729449
scheme:HYBRID, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:TRANSPOSE, code_params:[2, 3.0203969870122864, 1, 9], meas_params:[-0.03583464368890321, 0], noise_params:[0.0003, 0.001, 18.712459412902113], init_params:[4, -0.39269908169872414, 10], optimal_params:[3.0203969870122864, -0.03583464368890321, 18.712459412902113], encoded_infidelity:0.0034295394604221263, benchmark_infidelity:0.004962810749635338, diff:-0.0015332712892132117, ratio:0.6910478020291475
scheme:HYBRID, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:TRANSPOSE, code_params:[2, 2.9537438445689146, 1, 9], meas_params:[-0.035380041280724535, 0], noise_params:[0.00035, 0.001, 18.63154394817252], init_params:[3, -0.39269908169872414, 20], optimal_params:[2.9537438445689146, -0.035380041280724535, 18.63154394817252], encoded_infidelity:0.003987731849851017, benchmark_infidelity:0.0052491511167946925, diff:-0.0012614192669436752, ratio:0.7596908073559254
scheme:HYBRID, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:TRANSPOSE, code_params:[2, 2.8965075738815713, 1, 9], meas_params:[-0.03494188925343415, 0], noise_params:[0.0004, 0.001, 18.56760351022655], init_params:[3, -0.39269908169872414, 30], optimal_params:[2.8965075738815713, -0.03494188925343415, 18.56760351022655], encoded_infidelity:0.004551604608016402, benchmark_infidelity:0.005537662186359316, diff:-0.0009860575783429137, ratio:0.8219361266254509
scheme:HYBRID, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:TRANSPOSE, code_params:[2, 2.846303969185283, 1, 9], meas_params:[-0.03451420425551047, 0], noise_params:[0.00045, 0.001, 18.512018680687603], init_params:[3, -0.39269908169872414, 30], optimal_params:[2.846303969185283, -0.03451420425551047, 18.512018680687603], encoded_infidelity:0.005119688874898443, benchmark_infidelity:0.005826484661693887, diff:-0.0007067957867954444, ratio:0.8786925860386693
