scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:TRANSPOSE, code_params:[4, 8.983168095277055, 4, 8.993846872178604], meas_params:[-0.0781377404696467, -0.12559877366837313], noise_params:[0.0001, 0.00025118864315095795, 5.558348033495081], init_params:[7, 8, -0.05, -0.1, 8], optimal_params:[8.983168095277055, 8.993846872178604, -0.0781377404696467, -0.12559877366837313, 5.558348033495081], encoded_infidelity:0.00010492867293565578, benchmark_infidelity:0.0004177927942788928, diff:-0.00031286412134323704, ratio:0.2511500302841792
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:TRANSPOSE, code_params:[4, 8.534756701938147, 4, 8.768400245703795], meas_params:[-0.0889313959921062, -0.1388118708426414], noise_params:[0.0002, 0.00025118864315095795, 6.010443743702094], init_params:[7, 8, -0.05, -0.1, 8], optimal_params:[8.534756701938147, 8.768400245703795, -0.0889313959921062, -0.1388118708426414, 6.010443743702094], encoded_infidelity:0.0003640379524166848, benchmark_infidelity:0.0006518954655346798, diff:-0.000287857513117995, ratio:0.5584299502959474
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:TRANSPOSE, code_params:[4, 8.105729771154316, 4, 8.467453664046388], meas_params:[-0.08418792243551737, -0.13874921842708904], noise_params:[0.00025, 0.00025118864315095795, 6.256913238550734], init_params:[7, 8, -0.05, -0.1, 9], optimal_params:[8.105729771154316, 8.467453664046388, -0.08418792243551737, -0.13874921842708904, 6.256913238550734], encoded_infidelity:0.0005565756418931533, benchmark_infidelity:0.000782740370893209, diff:-0.0002261647290000557, ratio:0.711060349753045
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:TRANSPOSE, code_params:[4, 7.757402756595145, 4, 8.230502102555072], meas_params:[-0.08079060321453548, -0.14038374669730097], noise_params:[0.0003, 0.00025118864315095795, 6.86432701971642], init_params:[7, 8, -0.05, -0.1, 8], optimal_params:[7.757402756595145, 8.230502102555072, -0.08079060321453548, -0.14038374669730097, 6.86432701971642], encoded_infidelity:0.00083318501358709, benchmark_infidelity:0.0009728569610173432, diff:-0.00013967194743025324, ratio:0.8564311578917064
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:TRANSPOSE, code_params:[4, 7.56545491429355, 4, 7.989242780487615], meas_params:[-0.0815015994799321, -0.1390062202991433], noise_params:[0.00035, 0.00025118864315095795, 6.657907217288933], init_params:[7, 8, -0.05, -0.1, 8], optimal_params:[7.56545491429355, 7.989242780487615, -0.0815015994799321, -0.1390062202991433, 6.657907217288933], encoded_infidelity:0.0010453779795601692, benchmark_infidelity:0.0010543683531762937, diff:-8.990373616124536e-06, ratio:0.9914732137122279
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:TRANSPOSE, code_params:[4, 7.086745070190108, 4, 7.577298852981152], meas_params:[-0.07861232344644245, -0.1371677201508973], noise_params:[0.00045, 0.00025118864315095795, 7.014622206091733], init_params:[7, 8, -0.05, -0.1, 8], optimal_params:[7.086745070190108, 7.577298852981152, -0.07861232344644245, -0.1371677201508973, 7.014622206091733], encoded_infidelity:0.0016664238148621502, benchmark_infidelity:0.0013440222537877133, diff:0.00032240156107443685, ratio:1.2398781420217166
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:TRANSPOSE, code_params:[4, 6.795763341396745, 4, 7.456559778340221], meas_params:[-0.07089339079612642, -0.13971892305108247], noise_params:[0.0005, 0.00025118864315095795, 8.221344193043578], init_params:[7, 8, -0.05, -0.1, 8], optimal_params:[6.795763341396745, 7.456559778340221, -0.07089339079612642, -0.13971892305108247, 8.221344193043578], encoded_infidelity:0.002318484758376038, benchmark_infidelity:0.0017114149965156145, diff:0.0006070697618604237, ratio:1.3547180333796291
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:TRANSPOSE, code_params:[4, 8.978293946668742, 4, 8.434034388185587], meas_params:[-0.04780283493510043, -0.09144586407088504], noise_params:[8e-05, 0.00039810717055349735, 4.68418962110575], init_params:[7, 8, -0.05, -0.1, 8], optimal_params:[8.978293946668742, 8.434034388185587, -0.04780283493510043, -0.09144586407088504, 4.68418962110575], encoded_infidelity:0.00013178179260009415, benchmark_infidelity:0.0004354926981925411, diff:-0.00030371090559244696, ratio:0.30260390850877245
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:TRANSPOSE, code_params:[4, 8.997361576373505, 4, 8.473015951726273], meas_params:[-0.06514612306464987, -0.09876119386599891], noise_params:[9e-05, 0.00039810717055349735, 4.274083351697791], init_params:[7, 8, -0.05, -0.1, 8], optimal_params:[8.997361576373505, 8.473015951726273, -0.06514612306464987, -0.09876119386599891, 4.274083351697791], encoded_infidelity:0.0001354244883904343, benchmark_infidelity:0.00041161942792056205, diff:-0.00027619493953012775, ratio:0.32900412177962046
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:TRANSPOSE, code_params:[4, 8.953527523265297, 4, 8.245305156705914], meas_params:[-0.06555886629387062, -0.09652446745381901], noise_params:[0.0001, 0.00039810717055349735, 4.3211825501861085], init_params:[7, 8, -0.05, -0.1, 8], optimal_params:[8.953527523265297, 8.245305156705914, -0.06555886629387062, -0.09652446745381901, 4.3211825501861085], encoded_infidelity:0.00016182683580312496, benchmark_infidelity:0.00043054651915086506, diff:-0.0002687196833477401, ratio:0.3758637652495345
