scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:TRANSPOSE, code_params:[4, 8.967837979643804, 4, 8.999996753952924], meas_params:[-0.1207691279181071, -0.12637589829158397], noise_params:[0.0001, 3.9810717055349695e-05, 1], init_params:[8, 8, -0.09817477042468103, -0.09817477042468103], optimal_params:[8.967837979643804, 8.999996753952924, -0.1207691279181071, -0.12637589829158397], encoded_infidelity:1.4022141623049045e-05, benchmark_infidelity:3.996680509621431e-05, diff:-2.5944663473165264e-05, ratio:0.3508446969752214
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:TRANSPOSE, code_params:[4, 8.99999882753464, 4, 8.941043832986018], meas_params:[-0.13632964532086347, -0.13927315809360935], noise_params:[0.0002, 3.9810717055349695e-05, 1], init_params:[8, 8, -0.09817477042468103, -0.09817477042468103], optimal_params:[8.99999882753464, 8.941043832986018, -0.13632964532086347, -0.13927315809360935], encoded_infidelity:4.952635461297206e-05, benchmark_infidelity:7.329605694472718e-05, diff:-2.3769702331755127e-05, ratio:0.6757028505683471
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:TRANSPOSE, code_params:[4, 8.65745264922514, 4, 8.2985340628859], meas_params:[-0.14287586312895129, -0.1438666048231947], noise_params:[0.0004, 3.9810717055349695e-05, 1], init_params:[8, 8, -0.09817477042468103, -0.09817477042468103], optimal_params:[8.65745264922514, 8.2985340628859, -0.14287586312895129, -0.1438666048231947], encoded_infidelity:0.00021733769324472352, benchmark_infidelity:0.00013994706214981445, diff:7.739063109490907e-05, ratio:1.5529993263600044
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:TRANSPOSE, code_params:[4, 8.9882082755671, 4, 8.646803071684378], meas_params:[-0.14298695192814187, -0.1440374494809111], noise_params:[0.00030000000000000003, 3.9810717055349695e-05, 1], init_params:[8, 8, -0.09817477042468103, -0.09817477042468103], optimal_params:[8.9882082755671, 8.646803071684378, -0.14298695192814187, -0.1440374494809111], encoded_infidelity:0.00011651273506141369, benchmark_infidelity:0.00010662280922613121, diff:9.889925835282476e-06, ratio:1.0927561926670626
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:TRANSPOSE, code_params:[4, 8.999941032626229, 4, 8.775600777162172], meas_params:[-0.14004224464934273, -0.14172635749688628], noise_params:[0.00025, 3.9810717055349695e-05, 1], init_params:[8, 8, -0.09817477042468103, -0.09817477042468103], optimal_params:[8.999941032626229, 8.775600777162172, -0.14004224464934273, -0.14172635749688628], encoded_infidelity:7.865531062023479e-05, benchmark_infidelity:8.995974551828656e-05, diff:-1.1304434898051774e-05, ratio:0.8743389631337511
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:TRANSPOSE, code_params:[4, 8.9994465941346, 4, 8.991920507817927], meas_params:[-0.11786012118051623, -0.1243335466444862], noise_params:[0.0001, 6.309573444801929e-05, 1], init_params:[8, 8, -0.09817477042468103, -0.09817477042468103], optimal_params:[8.9994465941346, 8.991920507817927, -0.11786012118051623, -0.1243335466444862], encoded_infidelity:1.590876099921701e-05, benchmark_infidelity:4.384734745643826e-05, diff:-2.793858645722125e-05, ratio:0.36282151423235226
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:TRANSPOSE, code_params:[4, 8.999992661101732, 4, 8.936992185762623], meas_params:[-0.13379031421699822, -0.13740739600559787], noise_params:[0.0002, 6.309573444801929e-05, 1], init_params:[8, 8, -0.09817477042468103, -0.09817477042468103], optimal_params:[8.999992661101732, 8.936992185762623, -0.13379031421699822, -0.13740739600559787], encoded_infidelity:5.4461287358420485e-05, benchmark_infidelity:7.717640528293046e-05, diff:-2.2715117924509975e-05, ratio:0.7056727656433875
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:TRANSPOSE, code_params:[4, 8.721885840215025, 4, 8.338180547968003], meas_params:[-0.14196250068942495, -0.14325310510113004], noise_params:[0.0004, 6.309573444801929e-05, 1], init_params:[5, 5, -0.09817477042468103, -0.09817477042468103], optimal_params:[8.721885840215025, 8.338180547968003, -0.14196250068942495, -0.14325310510113004], encoded_infidelity:0.00023129689967305023, benchmark_infidelity:0.00014382702247284218, diff:8.746987720020805e-05, ratio:1.6081602448296832
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:TRANSPOSE, code_params:[4, 8.999952970573482, 4, 8.668094260612953], meas_params:[-0.14111856285546287, -0.14271468980624227], noise_params:[0.00030000000000000003, 6.309573444801929e-05, 1], init_params:[8, 8, -0.09817477042468103, -0.09817477042468103], optimal_params:[8.999952970573482, 8.668094260612953, -0.14111856285546287, -0.14271468980624227], encoded_infidelity:0.00012500933667192182, benchmark_infidelity:0.00011050296355230582, diff:1.4506373119616e-05, ratio:1.1312758739972573
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:TRANSPOSE, code_params:[4, 8.999961885562868, 4, 8.795429954238738], meas_params:[-0.13789977821320126, -0.1406247266689214], noise_params:[0.00025, 6.309573444801929e-05, 1], init_params:[8, 8, -0.09817477042468103, -0.09817477042468103], optimal_params:[8.999961885562868, 8.795429954238738, -0.13789977821320126, -0.1406247266689214], encoded_infidelity:8.529980343807697e-05, benchmark_infidelity:9.383999684942079e-05, diff:-8.540193411343822e-06, ratio:0.9089919682643667
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:TRANSPOSE, code_params:[4, 8.999847919997965, 4, 8.998861580268759], meas_params:[-0.11755264759578608, -0.11999583011836623], noise_params:[0.0001, 0.0001, 1], init_params:[8, 8, -0.09817477042468103, -0.09817477042468103], optimal_params:[8.999847919997965, 8.998861580268759, -0.11755264759578608, -0.11999583011836623], encoded_infidelity:1.935337597258613e-05, benchmark_infidelity:4.99975000837205e-05, diff:-3.0644124111134374e-05, ratio:0.3870868731472378
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:TRANSPOSE, code_params:[4, 8.99224452682763, 4, 8.882305475996727], meas_params:[-0.1269029414756918, -0.13386528924128321], noise_params:[0.0002, 0.0001, 1], init_params:[5, 5, -0.09817477042468103, -0.09817477042468103], optimal_params:[8.99224452682763, 8.882305475996727, -0.1269029414756918, -0.13386528924128321], encoded_infidelity:6.399263884426798e-05, benchmark_infidelity:8.332625040952113e-05, diff:-1.933361156525315e-05, ratio:0.7679769403971161
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:TRANSPOSE, code_params:[4, 8.818562389001958, 4, 8.396166929886283], meas_params:[-0.1404527904413757, -0.14228489515938356], noise_params:[0.0004, 0.0001, 1], init_params:[5, 5, -0.09817477042468103, -0.09817477042468103], optimal_params:[8.818562389001958, 8.396166929886283, -0.1404527904413757, -0.14228489515938356], encoded_infidelity:0.0002553900405048992, benchmark_infidelity:0.0001499762526457893, diff:0.00010541378785910993, ratio:1.7028698610577633
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:TRANSPOSE, code_params:[4, 8.999995054410432, 4, 8.697726119085445], meas_params:[-0.13777497921775506, -0.14039669008177053], noise_params:[0.00030000000000000003, 0.0001, 1], init_params:[8, 8, -0.09817477042468103, -0.09817477042468103], optimal_params:[8.999995054410432, 8.697726119085445, -0.13777497921775506, -0.14039669008177053], encoded_infidelity:0.00014033602285523639, benchmark_infidelity:0.00011665250119430315, diff:2.3683521660933238e-05, ratio:1.2030262653475778
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:TRANSPOSE, code_params:[4, 8.999995936804257, 4, 8.818222990705147], meas_params:[-0.13475247995781803, -0.13782108811987254], noise_params:[0.00025, 0.0001, 1], init_params:[8, 8, -0.09817477042468103, -0.09817477042468103], optimal_params:[8.999995936804257, 8.818222990705147, -0.13475247995781803, -0.13782108811987254], encoded_infidelity:9.733888870344654e-05, benchmark_infidelity:9.998968823154986e-05, diff:-2.6507995281033203e-06, ratio:0.9734892709939772
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:TRANSPOSE, code_params:[4, 8.975375186729728, 4, 8.927317070458173], meas_params:[-0.1052682696763359, -0.1070882378716887], noise_params:[5e-05, 0.0001, 1], init_params:[8.5, 8.5, -0.15, -0.15], optimal_params:[8.975375186729728, 8.927317070458173, -0.1052682696763359, -0.1070882378716887], encoded_infidelity:6.902339725889384e-06, benchmark_infidelity:3.3332187527101986e-05, diff:-2.6429847801212603e-05, ratio:0.2070773098908428
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:TRANSPOSE, code_params:[4, 8.999486314992385, 4, 8.97475955027293], meas_params:[-0.11154344165264518, -0.11710036696853235], noise_params:[0.0001, 0.00015848931924611142, 1], init_params:[8, 8, -0.09817477042468103, -0.09817477042468103], optimal_params:[8.999486314992385, 8.97475955027293, -0.11154344165264518, -0.11710036696853235], encoded_infidelity:2.6118316086898297e-05, benchmark_infidelity:5.974460265856241e-05, diff:-3.362628657166411e-05, ratio:0.43716611919177445
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:TRANSPOSE, code_params:[4, 8.999978304728703, 4, 8.927235418345074], meas_params:[-0.12537060848755593, -0.13049517737879124], noise_params:[0.0002, 0.00015848931924611142, 1], init_params:[8, 8, -0.09817477042468103, -0.09817477042468103], optimal_params:[8.999978304728703, 8.927235418345074, -0.12537060848755593, -0.13049517737879124], encoded_infidelity:8.065477221330664e-05, benchmark_infidelity:9.307286564208539e-05, diff:-1.2418093428778754e-05, ratio:0.8665766510667791
