scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[3, 7.336342615704897, 3, 7.336342615704897], meas_params:[-0.10850773379328965, -0.10850773379328965], noise_params:[0.0001, 0.001, 2.9387529283268727], init_params:[4, -0.34906585039886584, 10], optimal_params:[7.336342615704897, -0.10850773379328965, 2.9387529283268727], encoded_infidelity:0.00033861488646547144, benchmark_infidelity:0.000587308212088522, diff:-0.0002486933256230506, ratio:0.5765539788066742
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[3, 7.336342615704897, 3, 7.336342615704897], meas_params:[-0.10850773379328965, -0.10850773379328965], noise_params:[0.0001, 0.001, 2.9387529283268727], init_params:[4, -0.34906585039886584, 10], optimal_params:[7.336342615704897,-0.10850773379328965,2.9387529283268727], encoded_infidelity:0.00033861488646547144, benchmark_infidelity:0.000587308212088522, diff:-0.0002486933256230506, ratio:0.5765539788066742
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[3, 8.67639213296589, 3, 8.67639213296589], meas_params:[-0.14744788813762877, -0.14744788813762877], noise_params:[0.0001, 0.001, -0.30604528162728784], init_params:[6, -0.34906585039886584, 15], optimal_params:[8.702315738544733,-0.1404605377004577,2.1209207012560167], encoded_infidelity:0.00031549296393773574, benchmark_infidelity:0.0004239536905629171, diff:-0.00010846072662518136, ratio:0.7441684574530548
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[3, 6.583177032229612, 3, 6.583177032229612], meas_params:[-0.12929334503779036, -0.12929334503779036], noise_params:[0.0001, 0.001, -4.144640224165208], init_params:[8, -0.34906585039886584, 20], optimal_params:[5.704190890637095,-0.11809770479042023,2.7288831738190815], encoded_infidelity:0.0007580421149621097, benchmark_infidelity:0.0005453951744177621, diff:0.00021264694054434763, ratio:1.3898951632114447
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[3, 6.541578663932009, 3, 6.541578663932009], meas_params:[-0.10671978104218627, -0.10671978104218627], noise_params:[0.0002, 0.001, 3.280294930965125], init_params:[2, -0.34906585039886584, 5], optimal_params:[6.541578663932009, -0.10671978104218627, 3.280294930965125], encoded_infidelity:0.0008859081171573857, benchmark_infidelity:0.0007647210938843685, diff:0.00012118702327301722, ratio:1.1584721857971156
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[3, 6.541578663932009, 3, 6.541578663932009], meas_params:[-0.10671978104218627, -0.10671978104218627], noise_params:[0.0002, 0.001, 3.280294930965125], init_params:[2, -0.34906585039886584, 5], optimal_params:[6.541578663932009,-0.10671978104218627,3.280294930965125], encoded_infidelity:0.0008859081171573857, benchmark_infidelity:0.0007647210938843685, diff:0.00012118702327301722, ratio:1.1584721857971156
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[3, 5.765943538417211, 3, 5.765943538417211], meas_params:[-0.10947907223182049, -0.10947907223182049], noise_params:[0.0002, 0.001, -0.023548239597744214], init_params:[4, -0.34906585039886584, 10], optimal_params:[5.6965788300112,-0.0843737385059853,2.8051173601584107], encoded_infidelity:0.0009092989309550381, benchmark_infidelity:0.000654029303752357, diff:0.0002552696272026811, ratio:1.3903030425978236
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[3, 6.541578663932009, 3, 6.541578663932009], meas_params:[-0.10671978104218627, -0.10671978104218627], noise_params:[0.0002, 0.001, 3.280294930965125], init_params:[2, -0.34906585039886584, 5], optimal_params:[6.541578663932009, -0.10671978104218627, 3.280294930965125], encoded_infidelity:0.0008859081171573857, benchmark_infidelity:0.0007647210938843685, diff:0.00012118702327301722, ratio:1.1584721857971156
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[3, 6.541578663932009, 3, 6.541578663932009], meas_params:[-0.10671978104218627, -0.10671978104218627], noise_params:[0.0002, 0.001, 3.280294930965125], init_params:[2, -0.34906585039886584, 5], optimal_params:[6.541578663932009,-0.10671978104218627,3.280294930965125], encoded_infidelity:0.0008859081171573857, benchmark_infidelity:0.0007647210938843685, diff:0.00012118702327301722, ratio:1.1584721857971156
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[3, 5.765943538417211, 3, 5.765943538417211], meas_params:[-0.10947907223182049, -0.10947907223182049], noise_params:[0.0002, 0.001, -0.023548239597744214], init_params:[4, -0.34906585039886584, 10], optimal_params:[5.6965788300112,-0.0843737385059853,2.8051173601584107], encoded_infidelity:0.0009092989309550381, benchmark_infidelity:0.000654029303752357, diff:0.0002552696272026811, ratio:1.3903030425978236
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[3, 6.386048537275661, 3, 6.386048537275661], meas_params:[-0.10018846622199801, -0.10018846622199801], noise_params:[0.0002, 0.001, 4.022917577715855], init_params:[6, -0.34906585039886584, 15], optimal_params:[6.386048537275661, -0.10018846622199801, 4.022917577715855], encoded_infidelity:0.0010906961398365889, benchmark_infidelity:0.0009376565852345919, diff:0.00015303955460199692, ratio:1.1632149307240327
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[3, 6.386048537275661, 3, 6.386048537275661], meas_params:[-0.10018846622199801, -0.10018846622199801], noise_params:[0.0002, 0.001, 4.022917577715855], init_params:[6, -0.34906585039886584, 15], optimal_params:[6.386048537275661,-0.10018846622199801,4.022917577715855], encoded_infidelity:0.0010906961398365889, benchmark_infidelity:0.0009376565852345919, diff:0.00015303955460199692, ratio:1.1632149307240327
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[3, 8.400384043188826, 3, 8.400384043188826], meas_params:[-0.1724113615096135, -0.1724113615096135], noise_params:[0.0002, 0.001, -12.522401532046816], init_params:[8, -0.34906585039886584, 20], optimal_params:[7.10983871106003,-0.14503593347118612,1.1524677454527712], encoded_infidelity:0.0005112316203620404, benchmark_infidelity:0.000268825041123244, diff:0.00024240657923879638, ratio:1.9017261867642161
